"","count","ncat","improve","index","adj"
"marital-status",1000,7,98.3764102794299,1,0
"relationship",1000,6,96.6540555548029,2,0
"capital-gain",1000,-1,62.0867368421053,5095.5,0
"education",1000,16,60.3203323490285,3,0
"education-num",1000,-1,60.3203323490285,11.5,0
"relationship",0,6,0.996,4,0.988059701492537
"age",0,-1,0.729,34.5,0.191044776119403
"workclass",0,9,0.708,5,0.128358208955224
"occupation",0,15,0.707,6,0.125373134328358
"capital-gain",0,-1,0.704,1232,0.116417910447761
"capital-gain",665,-1,17.0065835320007,7731.5,0
"education",665,16,7.13608834286947,7,0
"education-num",665,-1,6.95118449699531,11.5,0
"occupation",665,15,4.42446657183497,8,0
"marital-status",665,7,2.20197011516127,9,0
"education",656,16,3.42974505169627,10,0
"education-num",656,-1,3.2910114341432,11.5,0
"occupation",656,15,2.06763706556137,11,0
"capital-loss",656,-1,1.91846955874139,2280,0
"marital-status",656,7,1.31268503682606,12,0
"education-num",0,-1,0.995426829268293,11.5,0.964285714285715
"occupation",0,15,0.88109756097561,13,0.0714285714285715
"native-country",0,42,0.88109756097561,14,0.0714285714285715
"capital-gain",0,-1,0.876524390243902,4757.5,0.0357142857142853
"race",0,5,0.875,15,0.0238095238095238
"age",572,-1,0.0798368298368444,57.5,0
"hours-per-week",572,-1,0.0734265734265878,52.5,0
"race",572,5,0.0390566879928709,16,0
"occupation",572,15,0.0292903817494108,17,0
"marital-status",572,7,0.0205998820456759,18,0
"marital-status",0,7,0.95979020979021,19,0.0416666666666672
"hours-per-week",0,1,0.95979020979021,9,0.0416666666666672
"native-country",0,42,0.95979020979021,20,0.0416666666666672
"hours-per-week",24,-1,0.916666666666666,52.5,0
"age",24,1,0.583333333333332,58.5,0
"education",24,16,0.416666666666666,21,0
"occupation",24,15,0.416666666666666,22,0
"education-num",24,-1,0.249999999999999,9.5,0
"age",2,1,1,59.5,0
"fnlwgt",2,-1,1,196264.5,0
"education",2,16,1,23,0
"education-num",2,-1,1,7.5,0
"marital-status",2,7,1,24,0
"marital-status",84,7,2.99856335754641,25,0
"occupation",84,15,2.23544973544974,26,0
"age",84,-1,1.59202625331658,44.5,0
"fnlwgt",84,-1,1.44606999426277,396257,0
"capital-loss",84,-1,1.44606999426277,2280,0
"age",0,-1,0.785714285714286,40.5,0.28
"capital-loss",0,-1,0.726190476190476,1162,0.0800000000000001
"workclass",0,9,0.714285714285714,27,0.0400000000000002
"race",0,5,0.714285714285714,28,0.0400000000000002
"fnlwgt",59,-1,1.76797194623028,396257,0
"workclass",59,9,0.773416592328277,29,0
"education",59,16,0.4549955396967,30,0
"age",59,-1,0.299732381801965,27.5,0
"occupation",59,15,0.299732381801965,31,0
"workclass",58,9,0.832512315270936,32,0
"education",58,16,0.184099616858235,33,0
"marital-status",58,7,0.17683465959328,34,0
"age",58,-1,0.17614165890028,27.5,0
"occupation",58,15,0.17614165890028,35,0
"hours-per-week",56,-1,0.230476190476189,52.5,0
"occupation",56,15,0.164835164835164,36,0
"sex",56,2,0.142857142857142,37,0
"relationship",56,6,0.115207373271887,38,0
"age",56,-1,0.0857142857142841,27.5,0
"occupation",50,15,0.210000000000001,39,0
"fnlwgt",50,1,0.182222222222223,103334.5,0
"education",50,16,0.182222222222223,40,0
"education-num",50,-1,0.182222222222223,13.5,0
"age",50,-1,0.0552380952380953,32.5,0
"native-country",0,42,0.88,41,0.25
"education",8,16,1.75,42,0
"education-num",8,-1,1.75,13.5,0
"age",8,-1,0.416666666666667,30,0
"fnlwgt",8,1,0.416666666666667,104712,0
"sex",8,2,0.25,43,0
"fnlwgt",6,-1,0.666666666666667,189128.5,0
"occupation",6,15,0.666666666666667,44,0
"age",6,1,0.333333333333333,33.5,0
"relationship",6,6,0.333333333333333,45,0
"hours-per-week",6,1,0.333333333333333,57.5,0
"hours-per-week",0,1,0.833333333333333,57.5,0.5
"age",2,1,1,40,0
"workclass",2,9,1,46,0
"fnlwgt",2,1,1,207269.5,0
"marital-status",2,7,1,47,0
"occupation",2,15,1,48,0
"age",2,1,1,38,0
"fnlwgt",2,-1,1,111308,0
"education",2,16,1,49,0
"education-num",2,1,1,12.5,0
"marital-status",2,7,1,50,0
"occupation",25,15,3.645,51,0
"hours-per-week",25,-1,2.44063492063492,47.5,0
"age",25,-1,2.30205128205128,44.5,0
"race",25,5,1.78086956521739,52,0
"workclass",25,9,1.62,53,0
"age",0,1,0.76,51.5,0.333333333333333
"fnlwgt",0,-1,0.72,106809,0.222222222222222
"education",0,16,0.72,54,0.222222222222222
"education-num",0,-1,0.72,12.5,0.222222222222222
"workclass",0,9,0.68,55,0.111111111111111
"workclass",16,9,2.33653846153846,56,0
