"","var","n","wt","dev","yval","complexity","ncompete","nsurrogate","yval2.","yval2.","yval2.","yval2.","yval2.","yval2.nodeprob"
"1","marital-status",1000,1000,181,1,0.116022099,4,5,  1.00000000,819.00000000,181.00000000,  0.81900000,  0.18100000,  1.00000000
"2","capital-gain", 632, 632, 22,1,0.049723757,4,0,  1.00000000,610.00000000, 22.00000000,  0.96518987,  0.03481013,  0.63200000
"4","education", 623, 623, 13,1,0.003946330,4,3,  1.00000000,610.00000000, 13.00000000,  0.97913323,  0.02086677,  0.62300000
"8","marital-status", 599, 599,  8,1,0.003946330,4,5,  1.00000000,591.00000000,  8.00000000,  0.98664441,  0.01335559,  0.59900000
"16","<leaf>", 503, 503,  0,1,0.000000000,0,0,  1.00000000,503.00000000,  0.00000000,  1.00000000,  0.00000000,  0.50300000
"17","workclass",  96,  96,  8,1,0.003946330,4,0,  1.00000000, 88.00000000,  8.00000000,  0.91666667,  0.08333333,  0.09600000
"34","fnlwgt",  95,  95,  7,1,0.003946330,4,0,  1.00000000, 88.00000000,  7.00000000,  0.92631579,  0.07368421,  0.09500000
"68","occupation",  91,  91,  5,1,0.003946330,4,2,  1.00000000, 86.00000000,  5.00000000,  0.94505495,  0.05494505,  0.09100000
"136","education",  76,  76,  2,1,0.002762431,4,1,  1.00000000, 74.00000000,  2.00000000,  0.97368421,  0.02631579,  0.07600000
"272","occupation",  73,  73,  1,1,0.001841621,4,3,  1.00000000, 72.00000000,  1.00000000,  0.98630137,  0.01369863,  0.07300000
"544","<leaf>",  62,  62,  0,1,0.000000000,0,0,  1.00000000, 62.00000000,  0.00000000,  1.00000000,  0.00000000,  0.06200000
"545","age",  11,  11,  1,1,0.001841621,4,0,  1.00000000, 10.00000000,  1.00000000,  0.90909091,  0.09090909,  0.01100000
"1090","<leaf>",   8,   8,  0,1,0.000000000,0,0,  1.00000000,  8.00000000,  0.00000000,  1.00000000,  0.00000000,  0.00800000
"1091","age",   3,   3,  1,1,0.001841621,4,0,  1.00000000,  2.00000000,  1.00000000,  0.66666667,  0.33333333,  0.00300000
"2182","<leaf>",   2,   2,  0,1,0.000000000,0,0,  1.00000000,  2.00000000,  0.00000000,  1.00000000,  0.00000000,  0.00200000
"2183","<leaf>",   1,   1,  0,2,0.000000000,0,0,  2.00000000,  0.00000000,  1.00000000,  0.00000000,  1.00000000,  0.00100000
"273","workclass",   3,   3,  1,1,0.002762431,4,0,  1.00000000,  2.00000000,  1.00000000,  0.66666667,  0.33333333,  0.00300000
"546","<leaf>",   2,   2,  0,1,0.000000000,0,0,  1.00000000,  2.00000000,  0.00000000,  1.00000000,  0.00000000,  0.00200000
"547","<leaf>",   1,   1,  0,2,0.000000000,0,0,  2.00000000,  0.00000000,  1.00000000,  0.00000000,  1.00000000,  0.00100000
"137","hours-per-week",  15,  15,  3,1,0.003946330,4,2,  1.00000000, 12.00000000,  3.00000000,  0.80000000,  0.20000000,  0.01500000
"274","age",  12,  12,  1,1,0.003946330,4,0,  1.00000000, 11.00000000,  1.00000000,  0.91666667,  0.08333333,  0.01200000
"548","<leaf>",  11,  11,  0,1,0.000000000,0,0,  1.00000000, 11.00000000,  0.00000000,  1.00000000,  0.00000000,  0.01100000
"549","<leaf>",   1,   1,  0,2,0.000000000,0,0,  2.00000000,  0.00000000,  1.00000000,  0.00000000,  1.00000000,  0.00100000
"275","fnlwgt",   3,   3,  1,2,0.003946330,4,0,  2.00000000,  1.00000000,  2.00000000,  0.33333333,  0.66666667,  0.00300000
"550","<leaf>",   1,   1,  0,1,0.000000000,0,0,  1.00000000,  1.00000000,  0.00000000,  1.00000000,  0.00000000,  0.00100000
"551","<leaf>",   2,   2,  0,2,0.000000000,0,0,  2.00000000,  0.00000000,  2.00000000,  0.00000000,  1.00000000,  0.00200000
"69","fnlwgt",   4,   4,  2,1,0.003946330,4,0,  1.00000000,  2.00000000,  2.00000000,  0.50000000,  0.50000000,  0.00400000
"138","<leaf>",   2,   2,  0,1,0.000000000,0,0,  1.00000000,  2.00000000,  0.00000000,  1.00000000,  0.00000000,  0.00200000
"139","<leaf>",   2,   2,  0,2,0.000000000,0,0,  2.00000000,  0.00000000,  2.00000000,  0.00000000,  1.00000000,  0.00200000
"35","<leaf>",   1,   1,  0,2,0.000000000,0,0,  2.00000000,  0.00000000,  1.00000000,  0.00000000,  1.00000000,  0.00100000
"9","workclass",  24,  24,  5,1,0.003946330,4,5,  1.00000000, 19.00000000,  5.00000000,  0.79166667,  0.20833333,  0.02400000
"18","<leaf>",  10,  10,  0,1,0.000000000,0,0,  1.00000000, 10.00000000,  0.00000000,  1.00000000,  0.00000000,  0.01000000
"19","marital-status",  14,  14,  5,1,0.003946330,4,0,  1.00000000,  9.00000000,  5.00000000,  0.64285714,  0.35714286,  0.01400000
"38","workclass",  12,  12,  3,1,0.003946330,4,0,  1.00000000,  9.00000000,  3.00000000,  0.75000000,  0.25000000,  0.01200000
"76","race",  11,  11,  2,1,0.003946330,4,0,  1.00000000,  9.00000000,  2.00000000,  0.81818182,  0.18181818,  0.01100000
"152","fnlwgt",  10,  10,  1,1,0.002762431,4,5,  1.00000000,  9.00000000,  1.00000000,  0.90000000,  0.10000000,  0.01000000
"304","<leaf>",   6,   6,  0,1,0.000000000,0,0,  1.00000000,  6.00000000,  0.00000000,  1.00000000,  0.00000000,  0.00600000
"305","fnlwgt",   4,   4,  1,1,0.002762431,4,0,  1.00000000,  3.00000000,  1.00000000,  0.75000000,  0.25000000,  0.00400000
"610","<leaf>",   3,   3,  0,1,0.000000000,0,0,  1.00000000,  3.00000000,  0.00000000,  1.00000000,  0.00000000,  0.00300000
"611","<leaf>",   1,   1,  0,2,0.000000000,0,0,  2.00000000,  0.00000000,  1.00000000,  0.00000000,  1.00000000,  0.00100000
"153","<leaf>",   1,   1,  0,2,0.000000000,0,0,  2.00000000,  0.00000000,  1.00000000,  0.00000000,  1.00000000,  0.00100000
"77","<leaf>",   1,   1,  0,2,0.000000000,0,0,  2.00000000,  0.00000000,  1.00000000,  0.00000000,  1.00000000,  0.00100000
"39","<leaf>",   2,   2,  0,2,0.000000000,0,0,  2.00000000,  0.00000000,  2.00000000,  0.00000000,  1.00000000,  0.00200000
"5","<leaf>",   9,   9,  0,2,0.000000000,0,0,  2.00000000,  0.00000000,  9.00000000,  0.00000000,  1.00000000,  0.00900000
"3","occupation", 368, 368,159,1,0.116022099,4,5,  1.00000000,209.00000000,159.00000000,  0.56793478,  0.43206522,  0.36800000
"6","capital-gain", 248, 248, 78,1,0.049723757,4,0,  1.00000000,170.00000000, 78.00000000,  0.68548387,  0.31451613,  0.24800000
"12","hours-per-week", 237, 237, 68,1,0.022099448,4,2,  1.00000000,169.00000000, 68.00000000,  0.71308017,  0.28691983,  0.23700000
"24","native-country", 204, 204, 50,1,0.022099448,4,0,  1.00000000,154.00000000, 50.00000000,  0.75490196,  0.24509804,  0.20400000
"48","occupation", 200, 200, 46,1,0.008287293,4,5,  1.00000000,154.00000000, 46.00000000,  0.77000000,  0.23000000,  0.20000000
"96","fnlwgt",  48,  48,  5,1,0.005524862,4,0,  1.00000000, 43.00000000,  5.00000000,  0.89583333,  0.10416667,  0.04800000
"192","workclass",  45,  45,  3,1,0.005524862,4,0,  1.00000000, 42.00000000,  3.00000000,  0.93333333,  0.06666667,  0.04500000
"384","fnlwgt",  44,  44,  2,1,0.002762431,4,2,  1.00000000, 42.00000000,  2.00000000,  0.95454545,  0.04545455,  0.04400000
"768","<leaf>",  29,  29,  0,1,0.000000000,0,0,  1.00000000, 29.00000000,  0.00000000,  1.00000000,  0.00000000,  0.02900000
"769","fnlwgt",  15,  15,  2,1,0.002762431,4,0,  1.00000000, 13.00000000,  2.00000000,  0.86666667,  0.13333333,  0.01500000
"1538","workclass",  14,  14,  1,1,0.002762431,4,0,  1.00000000, 13.00000000,  1.00000000,  0.92857143,  0.07142857,  0.01400000
"3076","<leaf>",  12,  12,  0,1,0.000000000,0,0,  1.00000000, 12.00000000,  0.00000000,  1.00000000,  0.00000000,  0.01200000
"3077","age",   2,   2,  1,1,0.002762431,2,0,  1.00000000,  1.00000000,  1.00000000,  0.50000000,  0.50000000,  0.00200000
"6154","<leaf>",   1,   1,  0,1,0.000000000,0,0,  1.00000000,  1.00000000,  0.00000000,  1.00000000,  0.00000000,  0.00100000
"6155","<leaf>",   1,   1,  0,2,0.000000000,0,0,  2.00000000,  0.00000000,  1.00000000,  0.00000000,  1.00000000,  0.00100000
"1539","<leaf>",   1,   1,  0,2,0.000000000,0,0,  2.00000000,  0.00000000,  1.00000000,  0.00000000,  1.00000000,  0.00100000
"385","<leaf>",   1,   1,  0,2,0.000000000,0,0,  2.00000000,  0.00000000,  1.00000000,  0.00000000,  1.00000000,  0.00100000
"193","workclass",   3,   3,  1,2,0.005524862,4,0,  2.00000000,  1.00000000,  2.00000000,  0.33333333,  0.66666667,  0.00300000
"386","<leaf>",   1,   1,  0,1,0.000000000,0,0,  1.00000000,  1.00000000,  0.00000000,  1.00000000,  0.00000000,  0.00100000
"387","<leaf>",   2,   2,  0,2,0.000000000,0,0,  2.00000000,  0.00000000,  2.00000000,  0.00000000,  1.00000000,  0.00200000
"97","workclass", 152, 152, 41,1,0.008287293,4,0,  1.00000000,111.00000000, 41.00000000,  0.73026316,  0.26973684,  0.15200000
"194","age", 145, 145, 36,1,0.008287293,4,5,  1.00000000,109.00000000, 36.00000000,  0.75172414,  0.24827586,  0.14500000
"388","education",  54,  54,  8,1,0.005524862,4,1,  1.00000000, 46.00000000,  8.00000000,  0.85185185,  0.14814815,  0.05400000
"776","occupation",  51,  51,  6,1,0.005524862,4,1,  1.00000000, 45.00000000,  6.00000000,  0.88235294,  0.11764706,  0.05100000
"1552","capital-gain",  40,  40,  2,1,0.005524862,4,0,  1.00000000, 38.00000000,  2.00000000,  0.95000000,  0.05000000,  0.04000000
"3104","hours-per-week",  39,  39,  1,1,0.002762431,4,0,  1.00000000, 38.00000000,  1.00000000,  0.97435897,  0.02564103,  0.03900000
"6208","<leaf>",  33,  33,  0,1,0.000000000,0,0,  1.00000000, 33.00000000,  0.00000000,  1.00000000,  0.00000000,  0.03300000
"6209","fnlwgt",   6,   6,  1,1,0.002762431,4,0,  1.00000000,  5.00000000,  1.00000000,  0.83333333,  0.16666667,  0.00600000
"12418","<leaf>",   5,   5,  0,1,0.000000000,0,0,  1.00000000,  5.00000000,  0.00000000,  1.00000000,  0.00000000,  0.00500000
"12419","<leaf>",   1,   1,  0,2,0.000000000,0,0,  2.00000000,  0.00000000,  1.00000000,  0.00000000,  1.00000000,  0.00100000
"3105","<leaf>",   1,   1,  0,2,0.000000000,0,0,  2.00000000,  0.00000000,  1.00000000,  0.00000000,  1.00000000,  0.00100000
"1553","fnlwgt",  11,  11,  4,1,0.005524862,4,1,  1.00000000,  7.00000000,  4.00000000,  0.63636364,  0.36363636,  0.01100000
