"","count","ncat","improve","index","adj"
"occupation",1000,15,62.906128845358,1,0
"capital-gain",1000,-1,49.5809005235602,5095.5,0
"education",1000,16,40.5857442267877,2,0
"education-num",1000,-1,40.5857442267877,12.5,0
"fnlwgt",1000,-1,26.5497893639207,61969.5,0
"education",0,16,0.78,3,0.354838709677419
"education-num",0,-1,0.78,12.5,0.354838709677419
"hours-per-week",0,-1,0.694,51,0.102639296187683
"workclass",0,9,0.692,4,0.0967741935483869
"capital-gain",0,-1,0.684,4831.5,0.0733137829912024
"capital-gain",659,-1,15.3635703690079,5095.5,0
"occupation",659,15,8.37835469520955,5,0
"education",659,16,6.40238189483198,6,0
"workclass",659,9,4.73185991522182,7,0
"fnlwgt",659,-1,4.72873760415342,91179,0
"occupation",648,15,6.73866552512953,8,0
"workclass",648,9,4.04605923712734,9,0
"fnlwgt",648,-1,3.83857435468974,111835,0
"native-country",648,42,3.81985564456828,10,0
"education",648,16,3.59405991002937,11,0
"fnlwgt",0,-1,0.771604938271605,53874.5,0.398373983739837
"age",0,1,0.760802469135803,51.5,0.369918699186992
"workclass",0,9,0.760802469135803,12,0.369918699186992
"hours-per-week",0,1,0.756172839506173,49.5,0.357723577235772
"education",0,16,0.748456790123457,13,0.33739837398374
"education",402,16,2.49688987251804,14,0
"education-num",402,-1,0.87298836311774,10.5,0
"relationship",402,6,0.299185888738114,15,0
"fnlwgt",402,-1,0.21608328913806,378182.5,0
"workclass",402,9,0.176398009950228,16,0
"native-country",0,42,0.985074626865672,17,0.142857142857139
"fnlwgt",395,-1,0.0374899003501257,197649,0
"occupation",395,15,0.0162133046054496,18,0
"age",395,1,0.0136282976458115,42.5,0
"workclass",395,9,0.0118858614031403,19,0
"hours-per-week",395,1,0.0117434315498441,42,0
"education",0,16,0.89873417721519,20,0.148936170212766
"native-country",0,42,0.89620253164557,21,0.127659574468085
"hours-per-week",0,1,0.888607594936709,15.5,0.063829787234042
"capital-loss",0,-1,0.886075949367089,1590.5,0.042553191489361
"workclass",0,9,0.883544303797468,22,0.021276595744681
"fnlwgt",47,1,1.95744680851064,199398,0
"age",47,-1,0.139264990328821,41,0
"relationship",47,6,0.139264990328821,23,0
"marital-status",47,7,0.124113475177306,24,0
"education",47,16,0.0907801418439729,25,0
"age",7,-1,1.92857142857143,33.5,0
"marital-status",7,7,1.92857142857143,26,0
"relationship",7,6,1.92857142857143,27,0
"fnlwgt",7,-1,0.761904761904761,371437,0
"occupation",7,15,0.761904761904761,28,0
"fnlwgt",0,1,0.857142857142857,135206.5,0.666666666666667
"sex",0,2,0.714285714285714,29,0.333333333333333
"native-country",0,42,0.714285714285714,30,0.333333333333333
"fnlwgt",4,-1,1.5,103875,0
"age",4,-1,0.5,41,0
"occupation",4,15,0.166666666666667,31,0
"relationship",4,6,0.166666666666667,32,0
"sex",4,2,0.166666666666667,33,0
"marital-status",246,7,10.6480352303523,34,0
"relationship",246,6,9.69505450124494,35,0
"age",246,-1,5.8976098049269,39.5,0
"native-country",246,42,3.59843205574914,36,0
"hours-per-week",246,-1,2.85545781687327,74.5,0
"occupation",0,15,0.699186991869919,37,0.274509803921569
"sex",0,2,0.691056910569106,38,0.254901960784314
"education",0,16,0.613821138211382,39,0.0686274509803921
"age",0,-1,0.609756097560976,40.5,0.0588235294117648
"hours-per-week",0,-1,0.609756097560976,41.5,0.0588235294117648
"fnlwgt",144,1,1.87655400155399,20997,0
"education",144,16,1.87655400155399,40,0
"education-num",144,-1,1.87655400155399,14.5,0
"age",144,-1,0.612136066547833,44.5,0
"workclass",144,9,0.587106135986737,41,0
"education",143,16,1.90298433960407,42,0
"education-num",143,-1,1.90298433960407,14.5,0
"workclass",143,9,0.636374152163633,43,0
"age",143,-1,0.3916083916084,39.5,0
"hours-per-week",143,-1,0.261792536834991,42,0
"education",142,16,0.359827671913831,44,0
"education-num",142,-1,0.333812913322224,12.5,0
"age",142,-1,0.331633597203658,60.5,0
"fnlwgt",142,1,0.265396299364819,56979.5,0
"workclass",142,9,0.218212981593256,45,0
"education-num",0,-1,0.992957746478873,12.5,0.941176470588235
"native-country",0,42,0.901408450704225,46,0.176470588235294
"hours-per-week",125,-1,0.117333333333334,42,0
"relationship",125,6,0.0411428571428578,47,0
"education",125,16,0.0380540540540566,48,0
"marital-status",125,7,0.0352820512820515,49,0
"age",125,-1,0.0316190476190474,39.5,0
"native-country",0,42,0.888,50,0.0666666666666667
"hours-per-week",15,1,0.866666666666666,44.5,0
"age",15,-1,0.366666666666666,36.5,0
"fnlwgt",15,-1,0.266666666666666,203860.5,0
"education",15,16,0.266666666666666,51,0
"education-num",15,-1,0.2,9.5,0
"age",2,-1,1,30.5,0
"fnlwgt",2,-1,1,203860.5,0
"education",2,16,1,52,0
"education-num",2,-1,1,9.5,0
"marital-status",2,7,1,53,0
"age",17,-1,2.19607843137255,46.5,0
"workclass",17,9,1.65441176470588,54,0
"fnlwgt",17,1,1.65441176470588,64841,0
"race",17,5,1.65441176470588,55,0
"sex",17,2,0.529411764705883,56,0
"fnlwgt",0,1,0.941176470588235,91093.5,0.666666666666667
"workclass",0,9,0.882352941176471,57,0.333333333333333
"race",0,5,0.882352941176471,58,0.333333333333333
"occupation",3,15,1.33333333333333,59,0
"age",3,-1,0.333333333333333,54,0
"workclass",3,9,0.333333333333333,60,0
"fnlwgt",3,1,0.333333333333333,64841,0
"marital-status",3,7,0.333333333333333,61,0
"workclass",102,9,5.09397163120568,62,0
"education",102,16,4.67353951890035,63,0
"education-num",102,-1,4.67353951890035,12.5,0
"native-country",102,42,4.67353951890035,64,0
"age",102,-1,4.11933969407845,46.5,0
"education",94,16,5.36576619650968,65,0
"education-num",94,-1,5.36576619650968,12.5,0
"native-country",94,42,5.36576619650968,66,0
"age",94,-1,2.38994649744929,30.5,0
"hours-per-week",94,-1,2.07631822386679,74.5,0
"education-num",0,-1,1,12.5,1
"native-country",0,42,0.978723404255319,67,0.6
"age",89,-1,2.90410832613081,39.5,0
"native-country",89,42,2.31899780446856,68,0
"education",89,16,1.37676006258001,69,0
"fnlwgt",89,-1,1.22359550561799,85248.5,0
"relationship",89,6,1.14632277834525,70,0
"fnlwgt",0,1,0.629213483146067,196402.5,0.153846153846154
"education",0,16,0.595505617977528,71,0.0769230769230769
"race",0,5,0.595505617977528,72,0.0769230769230769
"education-num",0,1,0.584269662921348,11.5,0.0512820512820512
"relationship",0,6,0.584269662921348,73,0.0512820512820512
"hours-per-week",39,-1,2.83831070889894,48.5,0
"capital-gain",39,-1,1.65317139001349,2869,0
"native-country",39,42,1.65317139001349,74,0
"education",39,16,1.04845269672856,75,0
"education-num",39,-1,0.887279387279388,9.5,0
"native-country",34,42,1.94117647058824,76,0
"education",34,16,0.941176470588236,77,0
"education-num",34,-1,0.941176470588236,11.5,0
"capital-loss",34,-1,0.941176470588236,943.5,0
"age",34,-1,0.0661764705882355,31.5,0
"hours-per-week",5,1,1.06666666666667,52,0
"age",5,-1,0.9,23,0
"fnlwgt",5,-1,0.9,80468.5,0
"education",5,16,0.9,78,0
"education-num",5,1,0.9,11,0
"age",0,1,0.8,32,0.5
"fnlwgt",0,-1,0.8,147797.5,0.5
"education",3,16,1.33333333333333,79,0
"education-num",3,1,1.33333333333333,9.5,0
"occupation",3,15,1.33333333333333,80,0
"hours-per-week",3,-1,1.33333333333333,74.5,0
"age",3,-1,0.333333333333333,27,0
"education",50,16,3.58750402576489,81,0
"workclass",50,9,2.10976744186047,82,0
"fnlwgt",50,-1,1.76727272727273,85248.5,0
"occupation",50,15,1.70666666666667,83,0
"education-num",50,-1,1.69,6.5,0
"education-num",0,1,0.74,9.5,0.434782608695652
"age",0,1,0.66,41.5,0.260869565217391
"hours-per-week",0,-1,0.62,52.5,0.173913043478261
"fnlwgt",0,1,0.58,213280,0.0869565217391303
"fnlwgt",27,-1,2.86814814814815,335712,0
"age",27,1,1.56481481481481,42.5,0
"relationship",27,6,1.56481481481481,84,0
"race",27,5,1.56481481481481,85,0
"native-country",27,42,1.37891737891738,86,0
"race",25,5,1.61333333333333,87,0
"hours-per-week",25,1,1.37523809523809,38.5,0
"age",25,-1,0.98,57.5,0
"fnlwgt",25,-1,0.78,154870,0
"relationship",25,6,0.627826086956521,88,0
"age",24,1,0.757575757575759,42.5,0
"relationship",24,6,0.757575757575759,89,0
"sex",24,2,0.757575757575759,90,0
"hours-per-week",24,1,0.428571428571428,38.5,0
"fnlwgt",24,-1,0.393939393939394,154870,0
"age",22,-1,0.409090909090908,57.5,0
"education",22,16,0.409090909090908,91,0
"education-num",22,1,0.13131313131313,6.5,0
"fnlwgt",22,-1,0.109090909090908,155546,0
"occupation",22,15,0.0909090909090897,92,0
"age",4,1,1.5,61,0
"education",4,16,1.5,93,0
"fnlwgt",4,-1,0.5,130177.5,0
"education-num",4,1,0.5,6.5,0
"workclass",4,9,0.166666666666667,94,0
"fnlwgt",2,-1,1,154734.5,0
"education",2,16,1,95,0
"education-num",2,-1,1,8,0
"occupation",2,15,1,96,0
"relationship",2,6,1,97,0
"workclass",23,9,2.20434782608696,98,0
"age",23,-1,1.83066361556064,51.5,0
"hours-per-week",23,1,1.70434782608696,42.5,0
"fnlwgt",23,-1,1.39958592132505,74120,0
"occupation",23,15,0.887681159420289,99,0
"occupation",20,15,2.01666666666667,100,0
"age",20,-1,1.225,51.5,0
"fnlwgt",20,-1,0.889473684210527,74120,0
"race",20,5,0.889473684210527,101,0
"capital-loss",20,1,0.889473684210527,742.5,0
"fnlwgt",0,1,0.8,196854.5,0.5
"relationship",0,6,0.7,102,0.25
"sex",0,2,0.7,103,0.25
"age",0,-1,0.65,40.5,0.125
"hours-per-week",0,1,0.65,42.5,0.125
"age",8,-1,2.08333333333333,49,0
"fnlwgt",8,-1,1.35,185949,0
"hours-per-week",8,1,0.75,42.5,0
"occupation",8,15,0.083333333333333,104,0
"relationship",8,6,0.083333333333333,105,0
"fnlwgt",6,-1,0.666666666666667,203812.5,0
"occupation",6,15,0.666666666666667,106,0
"relationship",6,6,0.666666666666667,107,0
"sex",6,2,0.666666666666667,108,0
"age",6,-1,0.333333333333333,42,0
"age",2,-1,1,41.5,0
"fnlwgt",2,1,1,242026,0
"occupation",2,15,1,109,0
"relationship",2,6,1,110,0
"sex",2,2,1,111,0
"fnlwgt",12,-1,1.51515151515151,74120,0
"race",12,5,1.51515151515151,112,0
"capital-loss",12,1,1.51515151515151,742.5,0
"age",12,-1,0.222222222222222,53.5,0
"capital-gain",12,-1,0.0606060606060606,1551.5,0
"capital-loss",11,1,1.81818181818182,742.5,0
"fnlwgt",11,1,0.818181818181819,193429.5,0
"age",11,-1,0.318181818181819,42,0
"capital-gain",11,-1,0.0181818181818187,1551.5,0
"hours-per-week",11,-1,0.0181818181818187,50,0
"age",8,-1,1.75,31.5,0
"fnlwgt",8,-1,0.75,113067,0
"hours-per-week",8,-1,0.75,39,0
"occupation",8,15,0.416666666666667,113,0
"workclass",8,9,0.25,114,0
"age",11,-1,1.81818181818182,30.5,0
"marital-status",11,7,1.81818181818182,115,0
"hours-per-week",11,1,1.81818181818182,55,0
"education",11,16,0.818181818181819,116,0
"workclass",11,9,0.484848484848485,117,0
"marital-status",341,7,53.155733821401,118,0
"relationship",341,6,50.5775382253215,119,0
"age",341,-1,21.5291892573446,32.5,0
"capital-gain",341,-1,17.8864637948753,5095.5,0
"sex",341,2,13.68267148934,120,0
"relationship",0,6,0.979472140762463,121,0.949275362318841
"sex",0,2,0.756598240469208,122,0.398550724637681
"age",0,-1,0.703812316715543,31.5,0.268115942028986
"hours-per-week",0,-1,0.645161290322581,36,0.123188405797101
"race",0,5,0.621700879765396,123,0.0652173913043478
"capital-gain",138,-1,8.10940394464421,7139.5,0
"age",138,-1,3.94229017222777,35.5,0
"workclass",138,9,2.37715665976535,124,0
"fnlwgt",138,-1,1.86022544283413,415544,0
"hours-per-week",138,-1,1.60126706472683,44,0
"age",133,-1,2.58045112781955,35.5,0
"education",133,16,1.69560264297106,125,0
"capital-loss",133,-1,1.69560264297106,2269.5,0
"workclass",133,9,1.02110153432361,126,0
"hours-per-week",133,-1,0.9185211172151,44,0
"marital-status",0,7,0.736842105263158,127,0.363636363636364
"workclass",0,9,0.654135338345865,128,0.163636363636364
