"","count","ncat","improve","index","adj"
"relationship",1000,6,78.057909988366,1,0
"capital-gain",1000,-1,59.2513939393939,6897.5,0
"education",1000,16,50.1225138724706,2,0
"education-num",1000,-1,50.1225138724706,11.5,0
"occupation",1000,15,48.8020704523626,3,0
"sex",0,2,0.779,4,0.245733788395905
"occupation",0,15,0.736,5,0.0989761092150171
"capital-gain",0,-1,0.733,4900,0.0887372013651878
"age",0,-1,0.722,50.5,0.0511945392491468
"native-country",0,42,0.719,6,0.0409556313993174
"capital-gain",707,-1,16.0817692903142,7555.5,0
"occupation",707,15,8.31415908371373,7,0
"education",707,16,7.86330600831117,8,0
"education-num",707,-1,7.86330600831117,11.5,0
"native-country",707,42,3.51176515827872,9,0
"education",698,16,4.80930045539398,10,0
"education-num",698,-1,4.80930045539398,12.5,0
"occupation",698,15,4.62245416959975,11,0
"workclass",698,9,3.22546952966968,12,0
"capital-loss",698,-1,2.3011083396893,2222.5,0
"education-num",0,-1,1,12.5,1
"occupation",0,15,0.901146131805158,13,0.224719101123595
"fnlwgt",0,1,0.878223495702006,27811,0.044943820224719
"native-country",0,42,0.875358166189112,14,0.0224719101123595
"capital-loss",0,-1,0.873925501432665,1977,0.0112359550561798
"occupation",609,15,2.10149274369661,15,0
"workclass",609,9,1.92902540326471,16,0
"education",609,16,1.19858328922903,17,0
"education-num",609,-1,1.01905780503741,9.5,0
"age",609,-1,0.933705778533319,51.5,0
"workclass",0,9,0.821018062397373,18,0.186567164179104
"education",0,16,0.793103448275862,19,0.0597014925373134
"education-num",0,-1,0.793103448275862,10.5,0.0597014925373134
"capital-gain",0,-1,0.789819376026273,2139.5,0.044776119402985
"native-country",0,42,0.788177339901478,20,0.0373134328358209
"occupation",475,15,0.097443609022541,21,0
"age",475,-1,0.0928070175438656,52.5,0
"fnlwgt",475,-1,0.0527231121281302,192145,0
"hours-per-week",475,1,0.0482888422207202,21,0
"marital-status",475,7,0.0377555958862335,22,0
"native-country",0,42,0.867368421052632,23,0.1
"capital-loss",0,-1,0.861052631578947,704,0.0571428571428575
"education",0,16,0.856842105263158,24,0.0285714285714284
"race",0,5,0.854736842105263,25,0.0142857142857142
"age",70,-1,0.501098901098902,46.5,0
"workclass",70,9,0.31648351648352,26,0
"relationship",70,6,0.31648351648352,27,0
"hours-per-week",70,1,0.25029761904762,22,0
"marital-status",70,7,0.219047619047619,28,0
"marital-status",0,7,0.857142857142857,29,0.230769230769231
"native-country",0,42,0.842857142857143,30,0.153846153846154
"relationship",0,6,0.828571428571429,31,0.0769230769230772
"marital-status",13,7,1.55128205128205,32,0
"relationship",13,6,1.55128205128205,33,0
"hours-per-week",13,1,1.55128205128205,30,0
"fnlwgt",13,1,0.717948717948718,201471,0
"workclass",13,9,0.566433566433566,34,0
"education",12,16,0.5,35,0
"education-num",12,-1,0.5,9.5,0
"fnlwgt",12,1,0.233333333333333,201471,0
"marital-status",12,7,0.233333333333333,36,0
"age",12,-1,0.166666666666667,52,0
"education-num",0,-1,1,9.5,1
"fnlwgt",0,-1,0.833333333333333,265240.5,0.333333333333333
"marital-status",0,7,0.833333333333333,37,0.333333333333333
"sex",0,2,0.833333333333333,38,0.333333333333333
"age",3,-1,1.33333333333333,51.5,0
"fnlwgt",3,1,1.33333333333333,237642.5,0
"occupation",3,15,0.333333333333333,39,0
"sex",3,2,0.333333333333333,40,0
"relationship",134,6,2.2301824212272,41,0
"workclass",134,9,1.97714402814303,42,0
"marital-status",134,7,1.55591028813153,43,0
"age",134,-1,1.04652609047784,30.5,0
"education",134,16,0.744877761728986,44,0
"marital-status",0,7,0.977611940298508,45,0.666666666666667
"workclass",0,9,0.940298507462687,46,0.111111111111111
"workclass",125,9,1.33436293436293,47,0
"hours-per-week",125,-1,0.899999999999991,44.5,0
"marital-status",125,7,0.8830464267084,48,0
"age",125,-1,0.817440660474709,34.5,0
"occupation",125,15,0.750649350649347,49,0
"education",0,16,0.896,50,0.0714285714285715
"age",111,-1,0.66044226044226,34.5,0
"marital-status",111,7,0.599434975044733,51,0
"fnlwgt",111,1,0.480980980980982,36979,0
"hours-per-week",111,-1,0.371780360544406,44.5,0
"occupation",111,15,0.370900223531804,52,0
"marital-status",0,7,0.81981981981982,53,0.636363636363636
"relationship",0,6,0.720720720720721,54,0.436363636363636
"sex",0,2,0.63963963963964,55,0.272727272727273
"education",0,16,0.621621621621622,56,0.236363636363636
"hours-per-week",0,-1,0.603603603603604,31,0.2
"age",55,1,1.57090909090909,44.5,0
"occupation",55,15,0.684903084903087,57,0
"fnlwgt",55,1,0.634305317324188,41834.5,0
"hours-per-week",55,-1,0.504095904095905,44.5,0
"education",55,16,0.38787878787879,58,0
"fnlwgt",0,-1,0.654545454545455,140976,0.24
"hours-per-week",0,-1,0.636363636363636,43.5,0.2
"sex",0,2,0.618181818181818,59,0.16
"marital-status",0,7,0.6,60,0.12
"occupation",0,15,0.6,61,0.12
"fnlwgt",25,1,1.62,147689.5,0
"occupation",25,15,1.62,62,0
"education",25,16,1.20333333333333,63,0
"education-num",25,-1,1.20333333333333,11.5,0
"age",25,-1,1.06736842105263,42.5,0
"race",0,5,0.84,64,0.2
"education",20,16,1.52105263157895,65,0
"education-num",20,-1,1.52105263157895,11.5,0
"occupation",20,15,1.52105263157895,66,0
"age",20,1,0.544444444444443,35.5,0
"fnlwgt",20,-1,0.385714285714284,178187.5,0
"occupation",19,15,1.69005847953216,67,0
"age",19,1,0.696594427244581,35.5,0
"race",19,5,0.370614035087719,68,0
"workclass",19,9,0.212280701754386,69,0
"marital-status",19,7,0.212280701754386,70,0
"age",18,1,0.888888888888889,35.5,0
"occupation",18,15,0.555555555555556,71,0
"fnlwgt",18,-1,0.222222222222223,253720,0
"education",18,16,0.111111111111111,72,0
"marital-status",18,7,0.111111111111111,73,0
"fnlwgt",2,1,1,284761.5,0
"occupation",2,15,1,74,0
"hours-per-week",2,1,1,57.5,0
"age",5,-1,2.4,39.5,0
"marital-status",5,7,2.4,75,0
"capital-gain",5,1,2.4,1087,0
"fnlwgt",5,-1,1.06666666666667,143760.5,0
"occupation",5,15,1.06666666666667,76,0
"capital-gain",0,1,1,1087,1
"fnlwgt",0,-1,0.8,143760.5,0.5
"hours-per-week",0,-1,0.8,46.5,0.5
"occupation",14,15,3.04761904761905,77,0
"education",14,16,2.28571428571429,78,0
"education-num",14,-1,2.28571428571429,9.5,0
"fnlwgt",14,1,1.71428571428571,170305.5,0
"relationship",14,6,1.26984126984127,79,0
"age",0,-1,0.785714285714286,43.5,0.5
"fnlwgt",0,1,0.785714285714286,182934,0.5
"relationship",0,6,0.785714285714286,80,0.5
"hours-per-week",0,1,0.785714285714286,18.5,0.5
"workclass",0,9,0.714285714285714,81,0.333333333333333
"education",6,16,2.66666666666667,82,0
"education-num",6,-1,2.66666666666667,9.5,0
"hours-per-week",6,-1,1.33333333333333,22.5,0
"fnlwgt",6,1,1.06666666666667,170305.5,0
"age",6,1,0.666666666666667,46.5,0
"education-num",0,-1,1,9.5,1
"hours-per-week",0,-1,0.833333333333333,22.5,0.5
"age",9,-1,1.58730158730159,51.5,0
"education",9,16,1.01587301587302,83,0
"education-num",9,1,1.01587301587302,10.5,0
"workclass",9,9,0.694444444444445,84,0
"fnlwgt",9,1,0.694444444444445,59408.5,0
"fnlwgt",7,-1,1.52380952380952,178110,0
"race",7,5,1.19047619047619,85,0
"age",7,1,0.857142857142857,38,0
"education",7,16,0.457142857142857,86,0
"education-num",7,1,0.457142857142857,10.5,0
"workclass",0,9,0.714285714285714,87,0.333333333333333
"education",0,16,0.714285714285714,88,0.333333333333333
"education-num",0,1,0.714285714285714,9.5,0.333333333333333
"occupation",0,15,0.714285714285714,89,0.333333333333333
"race",0,5,0.714285714285714,90,0.333333333333333
"age",3,1,1.33333333333333,42,0
"workclass",3,9,1.33333333333333,91,0
"fnlwgt",3,1,0.333333333333333,192825.5,0
"education",3,16,0.333333333333333,92,0
"education-num",3,-1,0.333333333333333,9.5,0
"hours-per-week",89,-1,4.54705811284282,43.5,0
"marital-status",89,7,4.02862493311931,93,0
"occupation",89,15,3.93035112359551,94,0
"capital-loss",89,-1,2.60415859485988,2212,0
"native-country",89,42,2.60415859485988,95,0
"occupation",0,15,0.764044943820225,96,0.222222222222222
"capital-loss",0,-1,0.730337078651685,990,0.111111111111111
"age",0,-1,0.707865168539326,53.5,0.0370370370370368
"capital-gain",0,-1,0.707865168539326,1164.5,0.0370370370370368
"native-country",0,42,0.707865168539326,97,0.0370370370370368
"native-country",62,42,3.37204301075269,98,0
"race",62,5,2.04774922544195,99,0
"workclass",62,9,1.6583818085669,100,0
"fnlwgt",62,1,1.6583818085669,20212.5,0
"age",62,-1,1.46351344508026,47.5,0
"marital-status",60,7,1.06666666666667,101,0
"age",60,-1,1.00833333333333,47.5,0
"relationship",60,6,0.893835242771412,102,0
"fnlwgt",60,-1,0.533333333333333,186277.5,0
"occupation",60,15,0.426666666666664,103,0
"age",0,-1,0.75,34.5,0.25
"relationship",0,6,0.75,104,0.25
"workclass",0,9,0.716666666666667,105,0.15
"fnlwgt",0,-1,0.7,538363,0.1
"occupation",0,15,0.683333333333333,106,0.0500000000000001
"age",20,-1,1.12527472527473,47.5,0
"fnlwgt",20,-1,1.06666666666667,182675.5,0
"occupation",20,15,0.9,107,0
"workclass",20,9,0.861538461538462,108,0
"relationship",20,6,0.581818181818182,109,0
"workclass",0,9,0.8,110,0.428571428571429
"occupation",0,15,0.8,111,0.428571428571429
"fnlwgt",0,-1,0.7,203056.5,0.142857142857143
"relationship",0,6,0.7,112,0.142857142857143
"education",13,16,0.846153846153846,113,0
"education-num",13,-1,0.846153846153846,13.5,0
"marital-status",13,7,0.512820512820512,114,0
