"","var","n","wt","dev","yval","complexity","ncompete","nsurrogate","yval2.","yval2.","yval2.","yval2.","yval2.","yval2.nodeprob"
"1","occupation",1000,1000,423,1,0.5839243499,4,5,1.000000e+00,5.770000e+02,4.230000e+02,5.770000e-01,4.230000e-01,1.000000e+00
"2","relationship", 663, 663,131,1,0.0366430260,4,5,1.000000e+00,5.320000e+02,1.310000e+02,8.024133e-01,1.975867e-01,6.630000e-01
"4","capital-gain", 391, 391, 22,1,0.0070921986,4,0,1.000000e+00,3.690000e+02,2.200000e+01,9.437340e-01,5.626598e-02,3.910000e-01
"8","education", 382, 382, 16,1,0.0023640662,4,2,1.000000e+00,3.660000e+02,1.600000e+01,9.581152e-01,4.188482e-02,3.820000e-01
"16","capital-loss", 369, 369, 11,1,0.0023640662,4,0,1.000000e+00,3.580000e+02,1.100000e+01,9.701897e-01,2.981030e-02,3.690000e-01
"32","native-country", 368, 368, 10,1,0.0023640662,4,0,1.000000e+00,3.580000e+02,1.000000e+01,9.728261e-01,2.717391e-02,3.680000e-01
"64","capital-loss", 367, 367,  9,1,0.0018912530,4,1,1.000000e+00,3.580000e+02,9.000000e+00,9.754768e-01,2.452316e-02,3.670000e-01
"128","workclass", 364, 364,  8,1,0.0018912530,4,1,1.000000e+00,3.560000e+02,8.000000e+00,9.780220e-01,2.197802e-02,3.640000e-01
"256","education", 341, 341,  5,1,0.0015760441,4,3,1.000000e+00,3.360000e+02,5.000000e+00,9.853372e-01,1.466276e-02,3.410000e-01
"512","fnlwgt", 276, 276,  1,1,0.0011820331,4,1,1.000000e+00,2.750000e+02,1.000000e+00,9.963768e-01,3.623188e-03,2.760000e-01
"1024","<leaf>", 261, 261,  0,1,0.0000000000,0,0,1.000000e+00,2.610000e+02,0.000000e+00,1.000000e+00,0.000000e+00,2.610000e-01
"1025","fnlwgt",  15,  15,  1,1,0.0011820331,4,0,1.000000e+00,1.400000e+01,1.000000e+00,9.333333e-01,6.666667e-02,1.500000e-02
"2050","<leaf>",  14,  14,  0,1,0.0000000000,0,0,1.000000e+00,1.400000e+01,0.000000e+00,1.000000e+00,0.000000e+00,1.400000e-02
"2051","<leaf>",   1,   1,  0,2,0.0000000000,0,0,2.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,1.000000e+00,1.000000e-03
"513","age",  65,  65,  4,1,0.0015760441,4,1,1.000000e+00,6.100000e+01,4.000000e+00,9.384615e-01,6.153846e-02,6.500000e-02
"1026","sex",  58,  58,  2,1,0.0007880221,4,5,1.000000e+00,5.600000e+01,2.000000e+00,9.655172e-01,3.448276e-02,5.800000e-02
"2052","<leaf>",  32,  32,  0,1,0.0000000000,0,0,1.000000e+00,3.200000e+01,0.000000e+00,1.000000e+00,0.000000e+00,3.200000e-02
"2053","fnlwgt",  26,  26,  2,1,0.0007880221,4,5,1.000000e+00,2.400000e+01,2.000000e+00,9.230769e-01,7.692308e-02,2.600000e-02
"4106","<leaf>",  13,  13,  0,1,0.0000000000,0,0,1.000000e+00,1.300000e+01,0.000000e+00,1.000000e+00,0.000000e+00,1.300000e-02
"4107","fnlwgt",  13,  13,  2,1,0.0007880221,4,0,1.000000e+00,1.100000e+01,2.000000e+00,8.461538e-01,1.538462e-01,1.300000e-02
"8214","education",  12,  12,  1,1,0.0007880221,4,4,1.000000e+00,1.100000e+01,1.000000e+00,9.166667e-01,8.333333e-02,1.200000e-02
"16428","<leaf>",   9,   9,  0,1,0.0000000000,0,0,1.000000e+00,9.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,9.000000e-03
"16429","marital-status",   3,   3,  1,1,0.0007880221,4,0,1.000000e+00,2.000000e+00,1.000000e+00,6.666667e-01,3.333333e-01,3.000000e-03
"32858","<leaf>",   2,   2,  0,1,0.0000000000,0,0,1.000000e+00,2.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,2.000000e-03
"32859","<leaf>",   1,   1,  0,2,0.0000000000,0,0,2.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,1.000000e+00,1.000000e-03
"8215","<leaf>",   1,   1,  0,2,0.0000000000,0,0,2.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,1.000000e+00,1.000000e-03
"1027","age",   7,   7,  2,1,0.0015760441,4,0,1.000000e+00,5.000000e+00,2.000000e+00,7.142857e-01,2.857143e-01,7.000000e-03
"2054","<leaf>",   5,   5,  0,1,0.0000000000,0,0,1.000000e+00,5.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,5.000000e-03
"2055","<leaf>",   2,   2,  0,2,0.0000000000,0,0,2.000000e+00,0.000000e+00,2.000000e+00,0.000000e+00,1.000000e+00,2.000000e-03
"257","education",  23,  23,  3,1,0.0018912530,4,5,1.000000e+00,2.000000e+01,3.000000e+00,8.695652e-01,1.304348e-01,2.300000e-02
