"","count","ncat","improve","index","adj"
"relationship",1000,6,70.18030635385,1,0
"occupation",1000,15,55.6320045528975,2,0
"capital-gain",1000,-1,54.8100833333334,4647.5,0
"education-num",1000,-1,54.6188800482218,12.5,0
"education",1000,16,54.6188800482218,3,0
"sex",0,2,0.8,4,0.328859060402685
"occupation",0,15,0.739,5,0.124161073825503
"age",0,-1,0.732,42.5,0.100671140939597
"capital-gain",0,-1,0.723,4225,0.0704697986577182
"workclass",0,9,0.72,6,0.0604026845637584
"capital-gain",702,-1,17.6632001053966,4601.5,0
"occupation",702,15,12.2300925111671,7,0
"education",702,16,10.9007723068636,8,0
"education-num",702,-1,10.9007723068636,12.5,0
"age",702,-1,6.16240934990932,28.5,0
"education",0,16,0.99002849002849,9,0.299999999999999
"education-num",0,-1,0.99002849002849,14.5,0.299999999999999
"occupation",692,15,6.47282144405246,10,0
"education",692,16,5.32893350018234,11,0
"education-num",692,-1,5.24610229355426,10.5,0
"capital-loss",692,-1,3.7943432163803,1814,0
"age",692,-1,3.58383476392086,28.5,0
"education",0,16,0.877167630057804,12,0.325396825396826
"education-num",0,-1,0.877167630057804,11.5,0.325396825396826
"workclass",0,9,0.836705202312139,13,0.103174603174603
"native-country",0,42,0.822254335260116,14,0.0238095238095237
"age",0,-1,0.819364161849711,61.5,0.0079365079365077
"capital-loss",566,-1,1.8470379638595,1744.5,0
"native-country",566,42,0.991804973726268,15,0
"fnlwgt",566,1,0.786786515694768,40762.5,0
"occupation",566,15,0.778604327562103,16,0
"age",566,-1,0.58179297373562,28.5,0
"native-country",562,42,1.01761588736683,17,0
"age",562,-1,0.529853901778726,28.5,0
"workclass",562,9,0.493972350639137,18,0
"occupation",562,15,0.463190295326527,19,0
"education",562,16,0.454251570669157,20,0
"race",0,5,0.991103202846975,21,0.285714285714284
"age",555,-1,0.53375412753071,35.5,0
"fnlwgt",555,1,0.37378660094598,40762.5,0
"occupation",555,15,0.276837660424077,22,0
"education",555,16,0.248068597996557,23,0
"workclass",555,9,0.213167537175082,24,0
"marital-status",0,7,0.888288288288288,25,0.51937984496124
"relationship",0,6,0.809009009009009,26,0.178294573643411
"workclass",0,9,0.798198198198198,27,0.131782945736434
"fnlwgt",0,1,0.789189189189189,125911.5,0.0930232558139535
"race",0,5,0.789189189189189,28,0.0930232558139535
"fnlwgt",426,1,0.0541286937310277,127831.5,0
"occupation",426,15,0.0453051643192621,29,0
"age",426,1,0.0260743950884974,22.5,0
"relationship",426,6,0.0216209537929446,30,0
"sex",426,2,0.0180324370465366,31,0
"workclass",0,9,0.924882629107981,32,0.0588235294117655
"race",0,5,0.924882629107981,33,0.0588235294117655
"native-country",0,42,0.922535211267606,34,0.0294117647058828
"fnlwgt",34,-1,1.94117647058824,127134.5,0
"occupation",34,15,0.163398692810457,35,0
"education",34,16,0.141176470588236,36,0
"hours-per-week",34,1,0.107843137254902,33.5,0
"age",34,1,0.0950226244343897,22.5,0
"relationship",129,6,2.0608228980322,37,0
"marital-status",129,7,1.85702095285095,38,0
"occupation",129,15,0.702996644683559,39,0
"age",129,1,0.653533218015248,36.5,0
"fnlwgt",129,1,0.460478144746272,40762.5,0
"fnlwgt",117,1,0.664845434938894,40762.5,0
"education",117,16,0.592294497954878,40,0
"education-num",117,-1,0.592294497954878,12.5,0
"occupation",117,15,0.360439560439562,41,0
"sex",117,2,0.185776487663283,42,0
"age",0,-1,0.931623931623932,76.5,0.200000000000001
"education",107,16,0.181308411214954,43,0
"education-num",107,-1,0.181308411214954,12.5,0
"fnlwgt",107,-1,0.135154565061108,295455,0
"marital-status",107,7,0.114641744548287,44,0
"occupation",107,15,0.0924195223260642,45,0
"education-num",0,-1,1,12.5,1
"hours-per-week",0,-1,0.925233644859813,67.5,0.2
"age",10,-1,0.8,47.5,0
"fnlwgt",10,-1,0.8,289974,0
"marital-status",10,7,0.8,46,0
