"","var","n","wt","dev","yval","complexity","ncompete","nsurrogate","yval2.","yval2.","yval2.","yval2.","yval2.","yval2.nodeprob"
"1","native-country",1000,1000,440,1,0.5863636364,4,5,1.000000e+00,5.600000e+02,4.400000e+02,5.600000e-01,4.400000e-01,1.000000e+00
"2","relationship", 732, 732,177,1,0.0625000000,4,5,1.000000e+00,5.550000e+02,1.770000e+02,7.581967e-01,2.418033e-01,7.320000e-01
"4","capital-gain", 392, 392, 25,1,0.0159090909,4,0,1.000000e+00,3.670000e+02,2.500000e+01,9.362245e-01,6.377551e-02,3.920000e-01
"8","capital-loss", 383, 383, 17,1,0.0068181818,4,0,1.000000e+00,3.660000e+02,1.700000e+01,9.556136e-01,4.438642e-02,3.830000e-01
"16","education", 378, 378, 13,1,0.0045454545,4,1,1.000000e+00,3.650000e+02,1.300000e+01,9.656085e-01,3.439153e-02,3.780000e-01
"32","hours-per-week", 376, 376, 11,1,0.0022727273,4,0,1.000000e+00,3.650000e+02,1.100000e+01,9.707447e-01,2.925532e-02,3.760000e-01
"64","education", 372, 372,  9,1,0.0011363636,4,4,1.000000e+00,3.630000e+02,9.000000e+00,9.758065e-01,2.419355e-02,3.720000e-01
"128","native-country", 320, 320,  4,1,0.0011363636,4,0,1.000000e+00,3.160000e+02,4.000000e+00,9.875000e-01,1.250000e-02,3.200000e-01
"256","occupation", 317, 317,  3,1,0.0007575758,4,2,1.000000e+00,3.140000e+02,3.000000e+00,9.905363e-01,9.463722e-03,3.170000e-01
"512","<leaf>", 243, 243,  0,1,0.0000000000,0,0,1.000000e+00,2.430000e+02,0.000000e+00,1.000000e+00,0.000000e+00,2.430000e-01
"513","education",  74,  74,  3,1,0.0007575758,4,2,1.000000e+00,7.100000e+01,3.000000e+00,9.594595e-01,4.054054e-02,7.400000e-02
"1026","fnlwgt",  57,  57,  1,1,0.0007575758,4,2,1.000000e+00,5.600000e+01,1.000000e+00,9.824561e-01,1.754386e-02,5.700000e-02
"2052","<leaf>",  42,  42,  0,1,0.0000000000,0,0,1.000000e+00,4.200000e+01,0.000000e+00,1.000000e+00,0.000000e+00,4.200000e-02
"2053","fnlwgt",  15,  15,  1,1,0.0007575758,4,0,1.000000e+00,1.400000e+01,1.000000e+00,9.333333e-01,6.666667e-02,1.500000e-02
"4106","<leaf>",  14,  14,  0,1,0.0000000000,0,0,1.000000e+00,1.400000e+01,0.000000e+00,1.000000e+00,0.000000e+00,1.400000e-02
"4107","<leaf>",   1,   1,  0,2,0.0000000000,0,0,2.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,1.000000e+00,1.000000e-03
"1027","fnlwgt",  17,  17,  2,1,0.0007575758,4,3,1.000000e+00,1.500000e+01,2.000000e+00,8.823529e-01,1.176471e-01,1.700000e-02
"2054","<leaf>",   7,   7,  0,1,0.0000000000,0,0,1.000000e+00,7.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,7.000000e-03
"2055","fnlwgt",  10,  10,  2,1,0.0007575758,4,0,1.000000e+00,8.000000e+00,2.000000e+00,8.000000e-01,2.000000e-01,1.000000e-02
"4110","relationship",   9,   9,  1,1,0.0007575758,4,1,1.000000e+00,8.000000e+00,1.000000e+00,8.888889e-01,1.111111e-01,9.000000e-03
"8220","<leaf>",   7,   7,  0,1,0.0000000000,0,0,1.000000e+00,7.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,7.000000e-03
"8221","age",   2,   2,  1,1,0.0007575758,3,0,1.000000e+00,1.000000e+00,1.000000e+00,5.000000e-01,5.000000e-01,2.000000e-03
"16442","<leaf>",   1,   1,  0,1,0.0000000000,0,0,1.000000e+00,1.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,1.000000e-03
"16443","<leaf>",   1,   1,  0,2,0.0000000000,0,0,2.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,1.000000e+00,1.000000e-03
"4111","<leaf>",   1,   1,  0,2,0.0000000000,0,0,2.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,1.000000e+00,1.000000e-03
"257","age",   3,   3,  1,1,0.0011363636,4,0,1.000000e+00,2.000000e+00,1.000000e+00,6.666667e-01,3.333333e-01,3.000000e-03
"514","<leaf>",   2,   2,  0,1,0.0000000000,0,0,1.000000e+00,2.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,2.000000e-03
"515","<leaf>",   1,   1,  0,2,0.0000000000,0,0,2.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,1.000000e+00,1.000000e-03
"129","workclass",  52,  52,  5,1,0.0011363636,4,0,1.000000e+00,4.700000e+01,5.000000e+00,9.038462e-01,9.615385e-02,5.200000e-02
