"","var","n","wt","dev","yval","complexity","ncompete","nsurrogate","yval2.","yval2.","yval2.","yval2.","yval2.","yval2.","yval2.","yval2.nodeprob"
"1","Petal.Length",99,99,51,2,0.529411765,3,3, 2.00000000,27.00000000,48.00000000,24.00000000, 0.27272727, 0.48484848, 0.24242424, 1.00000000
"2","<leaf>",27,27, 0,1,0.000000000,0,0, 1.00000000,27.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.00000000, 0.27272727
"3","Petal.Length",72,72,24,2,0.392156863,3,3, 2.00000000, 0.00000000,48.00000000,24.00000000, 0.00000000, 0.66666667, 0.33333333, 0.72727273
"6","Sepal.Length",46,46, 1,2,0.009803922,3,0, 2.00000000, 0.00000000,45.00000000, 1.00000000, 0.00000000, 0.97826087, 0.02173913, 0.46464646
"12","<leaf>",44,44, 0,2,0.000000000,0,0, 2.00000000, 0.00000000,44.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.44444444
"13","Sepal.Width", 2, 2, 1,2,0.009803922,2,0, 2.00000000, 0.00000000, 1.00000000, 1.00000000, 0.00000000, 0.50000000, 0.50000000, 0.02020202
"26","<leaf>", 1, 1, 0,2,0.000000000,0,0, 2.00000000, 0.00000000, 1.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.01010101
"27","<leaf>", 1, 1, 0,3,0.000000000,0,0, 3.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.00000000, 1.00000000, 0.01010101
"7","Petal.Width",26,26, 3,3,0.019607843,3,1, 3.00000000, 0.00000000, 3.00000000,23.00000000, 0.00000000, 0.11538462, 0.88461538, 0.26262626
"14","Sepal.Length", 5, 5, 2,2,0.019607843,3,1, 2.00000000, 0.00000000, 3.00000000, 2.00000000, 0.00000000, 0.60000000, 0.40000000, 0.05050505
"28","<leaf>", 2, 2, 0,2,0.000000000,0,0, 2.00000000, 0.00000000, 2.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.02020202
"29","Petal.Length", 3, 3, 1,3,0.019607843,2,0, 3.00000000, 0.00000000, 1.00000000, 2.00000000, 0.00000000, 0.33333333, 0.66666667, 0.03030303
"58","<leaf>", 1, 1, 0,2,0.000000000,0,0, 2.00000000, 0.00000000, 1.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.01010101
"59","<leaf>", 2, 2, 0,3,0.000000000,0,0, 3.00000000, 0.00000000, 0.00000000, 2.00000000, 0.00000000, 0.00000000, 1.00000000, 0.02020202
"15","<leaf>",21,21, 0,3,0.000000000,0,0, 3.00000000, 0.00000000, 0.00000000,21.00000000, 0.00000000, 0.00000000, 1.00000000, 0.21212121
