"","var","n","wt","dev","yval","complexity","ncompete","nsurrogate","yval2.","yval2.","yval2.","yval2.","yval2.","yval2.","yval2.","yval2.nodeprob"
"1","Petal.Length",100,100,51,2,0.549019608,3,3, 2.00000000,28.00000000,49.00000000,23.00000000, 0.28000000, 0.49000000, 0.23000000, 1.00000000
"2","<leaf>", 28, 28, 0,1,0.000000000,0,0, 1.00000000,28.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.00000000, 0.28000000
"3","Petal.Width", 72, 72,23,2,0.392156863,3,3, 2.00000000, 0.00000000,49.00000000,23.00000000, 0.00000000, 0.68055556, 0.31944444, 0.72000000
"6","Petal.Length", 50, 50, 2,2,0.039215686,3,0, 2.00000000, 0.00000000,48.00000000, 2.00000000, 0.00000000, 0.96000000, 0.04000000, 0.50000000
"12","<leaf>", 48, 48, 0,2,0.000000000,0,0, 2.00000000, 0.00000000,48.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.48000000
"13","<leaf>",  2,  2, 0,3,0.000000000,0,0, 3.00000000, 0.00000000, 0.00000000, 2.00000000, 0.00000000, 0.00000000, 1.00000000, 0.02000000
"7","Petal.Length", 22, 22, 1,3,0.009803922,3,0, 3.00000000, 0.00000000, 1.00000000,21.00000000, 0.00000000, 0.04545455, 0.95454545, 0.22000000
"14","Sepal.Length",  2,  2, 1,2,0.009803922,3,0, 2.00000000, 0.00000000, 1.00000000, 1.00000000, 0.00000000, 0.50000000, 0.50000000, 0.02000000
"28","<leaf>",  1,  1, 0,2,0.000000000,0,0, 2.00000000, 0.00000000, 1.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.01000000
"29","<leaf>",  1,  1, 0,3,0.000000000,0,0, 3.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.00000000, 1.00000000, 0.01000000
"15","<leaf>", 20, 20, 0,3,0.000000000,0,0, 3.00000000, 0.00000000, 0.00000000,20.00000000, 0.00000000, 0.00000000, 1.00000000, 0.20000000
