"","var","n","wt","dev","yval","complexity","ncompete","nsurrogate","yval2.","yval2.","yval2.","yval2.","yval2.","yval2.","yval2.","yval2.nodeprob"
"1","Petal.Length",100,100,45,1,0.51111111,3,3, 1.00000000,55.00000000,22.00000000,23.00000000, 0.55000000, 0.22000000, 0.23000000, 1.00000000
"2","<leaf>", 55, 55, 0,1,0.00000000,0,0, 1.00000000,55.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.00000000, 0.55000000
"3","Petal.Width", 45, 45,22,3,0.42222222,3,3, 3.00000000, 0.00000000,22.00000000,23.00000000, 0.00000000, 0.48888889, 0.51111111, 0.45000000
"6","Petal.Length", 23, 23, 2,2,0.02222222,3,0, 2.00000000, 0.00000000,21.00000000, 2.00000000, 0.00000000, 0.91304348, 0.08695652, 0.23000000
"12","<leaf>", 20, 20, 0,2,0.00000000,0,0, 2.00000000, 0.00000000,20.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.20000000
"13","Petal.Width",  3,  3, 1,3,0.02222222,3,0, 3.00000000, 0.00000000, 1.00000000, 2.00000000, 0.00000000, 0.33333333, 0.66666667, 0.03000000
"26","<leaf>",  1,  1, 0,2,0.00000000,0,0, 2.00000000, 0.00000000, 1.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.01000000
"27","<leaf>",  2,  2, 0,3,0.00000000,0,0, 3.00000000, 0.00000000, 0.00000000, 2.00000000, 0.00000000, 0.00000000, 1.00000000, 0.02000000
"7","Petal.Length", 22, 22, 1,3,0.01111111,3,0, 3.00000000, 0.00000000, 1.00000000,21.00000000, 0.00000000, 0.04545455, 0.95454545, 0.22000000
"14","Sepal.Length",  2,  2, 1,2,0.01111111,1,0, 2.00000000, 0.00000000, 1.00000000, 1.00000000, 0.00000000, 0.50000000, 0.50000000, 0.02000000
"28","<leaf>",  1,  1, 0,2,0.00000000,0,0, 2.00000000, 0.00000000, 1.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.01000000
"29","<leaf>",  1,  1, 0,3,0.00000000,0,0, 3.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.00000000, 1.00000000, 0.01000000
"15","<leaf>", 20, 20, 0,3,0.00000000,0,0, 3.00000000, 0.00000000, 0.00000000,20.00000000, 0.00000000, 0.00000000, 1.00000000, 0.20000000
