"","var","n","wt","dev","yval","complexity","ncompete","nsurrogate","yval2.","yval2.","yval2.","yval2.","yval2.","yval2.","yval2.","yval2.nodeprob"
"1","Petal.Length",100,100,53,1,0.50943396,3,3, 1.00000000,47.00000000,27.00000000,26.00000000, 0.47000000, 0.27000000, 0.26000000, 1.00000000
"2","<leaf>", 47, 47, 0,1,0.00000000,0,0, 1.00000000,47.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.00000000, 0.47000000
"3","Petal.Width", 53, 53,26,2,0.43396226,3,3, 2.00000000, 0.00000000,27.00000000,26.00000000, 0.00000000, 0.50943396, 0.49056604, 0.53000000
"6","Petal.Length", 26, 26, 1,2,0.01886792,3,0, 2.00000000, 0.00000000,25.00000000, 1.00000000, 0.00000000, 0.96153846, 0.03846154, 0.26000000
"12","<leaf>", 25, 25, 0,2,0.00000000,0,0, 2.00000000, 0.00000000,25.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.25000000
"13","<leaf>",  1,  1, 0,3,0.00000000,0,0, 3.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.00000000, 1.00000000, 0.01000000
"7","Sepal.Length", 27, 27, 2,3,0.01257862,3,2, 3.00000000, 0.00000000, 2.00000000,25.00000000, 0.00000000, 0.07407407, 0.92592593, 0.27000000
"14","Sepal.Width",  7,  7, 2,3,0.01257862,3,0, 3.00000000, 0.00000000, 2.00000000, 5.00000000, 0.00000000, 0.28571429, 0.71428571, 0.07000000
"28","<leaf>",  1,  1, 0,2,0.00000000,0,0, 2.00000000, 0.00000000, 1.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.01000000
"29","Petal.Width",  6,  6, 1,3,0.01257862,3,0, 3.00000000, 0.00000000, 1.00000000, 5.00000000, 0.00000000, 0.16666667, 0.83333333, 0.06000000
"58","<leaf>",  1,  1, 0,2,0.00000000,0,0, 2.00000000, 0.00000000, 1.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.01000000
"59","<leaf>",  5,  5, 0,3,0.00000000,0,0, 3.00000000, 0.00000000, 0.00000000, 5.00000000, 0.00000000, 0.00000000, 1.00000000, 0.05000000
"15","<leaf>", 20, 20, 0,3,0.00000000,0,0, 3.00000000, 0.00000000, 0.00000000,20.00000000, 0.00000000, 0.00000000, 1.00000000, 0.20000000
