"","var","n","wt","dev","yval","complexity","ncompete","nsurrogate","yval2.","yval2.","yval2.","yval2.","yval2.","yval2.","yval2.","yval2.nodeprob"
"1","Petal.Length",99,99,49,2,0.48979592,3,3, 2.00000000,24.00000000,50.00000000,25.00000000, 0.24242424, 0.50505051, 0.25252525, 1.00000000
"2","<leaf>",24,24, 0,1,0.00000000,0,0, 1.00000000,24.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.00000000, 0.24242424
"3","Petal.Length",75,75,25,2,0.46938776,3,3, 2.00000000, 0.00000000,50.00000000,25.00000000, 0.00000000, 0.66666667, 0.33333333, 0.75757576
"6","Sepal.Length",50,50, 1,2,0.01020408,3,0, 2.00000000, 0.00000000,49.00000000, 1.00000000, 0.00000000, 0.98000000, 0.02000000, 0.50505051
"12","<leaf>",44,44, 0,2,0.00000000,0,0, 2.00000000, 0.00000000,44.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.44444444
"13","Petal.Length", 6, 6, 1,2,0.01020408,3,0, 2.00000000, 0.00000000, 5.00000000, 1.00000000, 0.00000000, 0.83333333, 0.16666667, 0.06060606
"26","<leaf>", 5, 5, 0,2,0.00000000,0,0, 2.00000000, 0.00000000, 5.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.05050505
"27","<leaf>", 1, 1, 0,3,0.00000000,0,0, 3.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.00000000, 1.00000000, 0.01010101
"7","Petal.Length",25,25, 1,3,0.01020408,3,0, 3.00000000, 0.00000000, 1.00000000,24.00000000, 0.00000000, 0.04000000, 0.96000000, 0.25252525
"14","Sepal.Length", 3, 3, 1,3,0.01020408,2,0, 3.00000000, 0.00000000, 1.00000000, 2.00000000, 0.00000000, 0.33333333, 0.66666667, 0.03030303
"28","<leaf>", 1, 1, 0,2,0.00000000,0,0, 2.00000000, 0.00000000, 1.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.01010101
"29","<leaf>", 2, 2, 0,3,0.00000000,0,0, 3.00000000, 0.00000000, 0.00000000, 2.00000000, 0.00000000, 0.00000000, 1.00000000, 0.02020202
"15","<leaf>",22,22, 0,3,0.00000000,0,0, 3.00000000, 0.00000000, 0.00000000,22.00000000, 0.00000000, 0.00000000, 1.00000000, 0.22222222
