"","var","n","wt","dev","yval","complexity","ncompete","nsurrogate","yval2.","yval2.","yval2.","yval2.","yval2.","yval2.","yval2.","yval2.nodeprob"
"1","Petal.Length",99,99,44,3,0.52272727,3,3, 3.00000000,24.00000000,20.00000000,55.00000000, 0.24242424, 0.20202020, 0.55555556, 1.00000000
"2","Petal.Length",42,42,18,1,0.38636364,3,3, 1.00000000,24.00000000,17.00000000, 1.00000000, 0.57142857, 0.40476190, 0.02380952, 0.42424242
"4","<leaf>",24,24, 0,1,0.00000000,0,0, 1.00000000,24.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.00000000, 0.24242424
"5","Sepal.Length",18,18, 1,2,0.02272727,3,0, 2.00000000, 0.00000000,17.00000000, 1.00000000, 0.00000000, 0.94444444, 0.05555556, 0.18181818
"10","<leaf>",17,17, 0,2,0.00000000,0,0, 2.00000000, 0.00000000,17.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.17171717
"11","<leaf>", 1, 1, 0,3,0.00000000,0,0, 3.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.00000000, 1.00000000, 0.01010101
"3","Petal.Length",57,57, 3,3,0.01363636,3,0, 3.00000000, 0.00000000, 3.00000000,54.00000000, 0.00000000, 0.05263158, 0.94736842, 0.57575758
"6","Sepal.Width", 4, 4, 1,3,0.01363636,2,0, 3.00000000, 0.00000000, 1.00000000, 3.00000000, 0.00000000, 0.25000000, 0.75000000, 0.04040404
"12","<leaf>", 1, 1, 0,2,0.00000000,0,0, 2.00000000, 0.00000000, 1.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.01010101
"13","<leaf>", 3, 3, 0,3,0.00000000,0,0, 3.00000000, 0.00000000, 0.00000000, 3.00000000, 0.00000000, 0.00000000, 1.00000000, 0.03030303
"7","Sepal.Width",53,53, 2,3,0.01363636,3,3, 3.00000000, 0.00000000, 2.00000000,51.00000000, 0.00000000, 0.03773585, 0.96226415, 0.53535354
"14","Petal.Width",24,24, 2,3,0.01363636,3,0, 3.00000000, 0.00000000, 2.00000000,22.00000000, 0.00000000, 0.08333333, 0.91666667, 0.24242424
"28","Petal.Width", 3, 3, 1,2,0.01363636,3,0, 2.00000000, 0.00000000, 2.00000000, 1.00000000, 0.00000000, 0.66666667, 0.33333333, 0.03030303
"56","<leaf>", 2, 2, 0,2,0.00000000,0,0, 2.00000000, 0.00000000, 2.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.02020202
"57","<leaf>", 1, 1, 0,3,0.00000000,0,0, 3.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.00000000, 1.00000000, 0.01010101
"29","<leaf>",21,21, 0,3,0.00000000,0,0, 3.00000000, 0.00000000, 0.00000000,21.00000000, 0.00000000, 0.00000000, 1.00000000, 0.21212121
"15","<leaf>",29,29, 0,3,0.00000000,0,0, 3.00000000, 0.00000000, 0.00000000,29.00000000, 0.00000000, 0.00000000, 1.00000000, 0.29292929
