"","var","n","wt","dev","yval","complexity","ncompete","nsurrogate","yval2.","yval2.","yval2.","yval2.","yval2.","yval2.","yval2.","yval2.nodeprob"
"1","Petal.Length",99,99,49,2,0.59183673,3,3, 2.00000000,29.00000000,50.00000000,20.00000000, 0.29292929, 0.50505051, 0.20202020, 1.00000000
"2","<leaf>",29,29, 0,1,0.00000000,0,0, 1.00000000,29.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.00000000, 0.29292929
"3","Petal.Length",70,70,20,2,0.36734694,3,3, 2.00000000, 0.00000000,50.00000000,20.00000000, 0.00000000, 0.71428571, 0.28571429, 0.70707071
"6","Sepal.Length",50,50, 1,2,0.02040816,3,0, 2.00000000, 0.00000000,49.00000000, 1.00000000, 0.00000000, 0.98000000, 0.02000000, 0.50505051
"12","<leaf>",49,49, 0,2,0.00000000,0,0, 2.00000000, 0.00000000,49.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.49494949
"13","<leaf>", 1, 1, 0,3,0.00000000,0,0, 3.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.00000000, 1.00000000, 0.01010101
"7","Sepal.Width",20,20, 1,3,0.01020408,3,2, 3.00000000, 0.00000000, 1.00000000,19.00000000, 0.00000000, 0.05000000, 0.95000000, 0.20202020
"14","Sepal.Length", 3, 3, 1,3,0.01020408,3,0, 3.00000000, 0.00000000, 1.00000000, 2.00000000, 0.00000000, 0.33333333, 0.66666667, 0.03030303
"28","<leaf>", 1, 1, 0,2,0.00000000,0,0, 2.00000000, 0.00000000, 1.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.01010101
"29","<leaf>", 2, 2, 0,3,0.00000000,0,0, 3.00000000, 0.00000000, 0.00000000, 2.00000000, 0.00000000, 0.00000000, 1.00000000, 0.02020202
"15","<leaf>",17,17, 0,3,0.00000000,0,0, 3.00000000, 0.00000000, 0.00000000,17.00000000, 0.00000000, 0.00000000, 1.00000000, 0.17171717
