"","var","n","wt","dev","yval","complexity","ncompete","nsurrogate","yval2.","yval2.","yval2.","yval2.","yval2.","yval2.","yval2.","yval2.nodeprob"
"1","Petal.Length",100,100,48,2,0.45833333,3,3, 2.00000000,22.00000000,52.00000000,26.00000000, 0.22000000, 0.52000000, 0.26000000, 1.00000000
"2","<leaf>", 22, 22, 0,1,0.00000000,0,0, 1.00000000,22.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.00000000, 0.22000000
"3","Petal.Length", 78, 78,26,2,0.45833333,3,3, 2.00000000, 0.00000000,52.00000000,26.00000000, 0.00000000, 0.66666667, 0.33333333, 0.78000000
"6","Petal.Width", 52, 52, 2,2,0.02083333,3,1, 2.00000000, 0.00000000,50.00000000, 2.00000000, 0.00000000, 0.96153846, 0.03846154, 0.52000000
"12","<leaf>", 49, 49, 0,2,0.00000000,0,0, 2.00000000, 0.00000000,49.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.49000000
"13","Sepal.Width",  3,  3, 1,3,0.02083333,3,0, 3.00000000, 0.00000000, 1.00000000, 2.00000000, 0.00000000, 0.33333333, 0.66666667, 0.03000000
"26","<leaf>",  1,  1, 0,2,0.00000000,0,0, 2.00000000, 0.00000000, 1.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.01000000
"27","<leaf>",  2,  2, 0,3,0.00000000,0,0, 3.00000000, 0.00000000, 0.00000000, 2.00000000, 0.00000000, 0.00000000, 1.00000000, 0.02000000
"7","Petal.Width", 26, 26, 2,3,0.02083333,3,0, 3.00000000, 0.00000000, 2.00000000,24.00000000, 0.00000000, 0.07692308, 0.92307692, 0.26000000
"14","Petal.Width",  4,  4, 2,2,0.02083333,2,0, 2.00000000, 0.00000000, 2.00000000, 2.00000000, 0.00000000, 0.50000000, 0.50000000, 0.04000000
"28","<leaf>",  2,  2, 0,2,0.00000000,0,0, 2.00000000, 0.00000000, 2.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.02000000
"29","<leaf>",  2,  2, 0,3,0.00000000,0,0, 3.00000000, 0.00000000, 0.00000000, 2.00000000, 0.00000000, 0.00000000, 1.00000000, 0.02000000
"15","<leaf>", 22, 22, 0,3,0.00000000,0,0, 3.00000000, 0.00000000, 0.00000000,22.00000000, 0.00000000, 0.00000000, 1.00000000, 0.22000000
