"","var","n","wt","dev","yval","complexity","ncompete","nsurrogate","yval2.","yval2.","yval2.","yval2.","yval2.","yval2.","yval2.","yval2.nodeprob"
"1","Petal.Length",99,99,53,1,0.528301887,3,3, 1.00000000,46.00000000,28.00000000,25.00000000, 0.46464646, 0.28282828, 0.25252525, 1.00000000
"2","<leaf>",46,46, 0,1,0.000000000,0,0, 1.00000000,46.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.00000000, 0.46464646
"3","Petal.Length",53,53,25,2,0.433962264,3,3, 2.00000000, 0.00000000,28.00000000,25.00000000, 0.00000000, 0.52830189, 0.47169811, 0.53535354
"6","Petal.Width",28,28, 1,2,0.009433962,3,1, 2.00000000, 0.00000000,27.00000000, 1.00000000, 0.00000000, 0.96428571, 0.03571429, 0.28282828
"12","<leaf>",26,26, 0,2,0.000000000,0,0, 2.00000000, 0.00000000,26.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.26262626
"13","Sepal.Length", 2, 2, 1,2,0.009433962,1,0, 2.00000000, 0.00000000, 1.00000000, 1.00000000, 0.00000000, 0.50000000, 0.50000000, 0.02020202
"26","<leaf>", 1, 1, 0,2,0.000000000,0,0, 2.00000000, 0.00000000, 1.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.01010101
"27","<leaf>", 1, 1, 0,3,0.000000000,0,0, 3.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.00000000, 1.00000000, 0.01010101
"7","Petal.Width",25,25, 1,3,0.009433962,3,0, 3.00000000, 0.00000000, 1.00000000,24.00000000, 0.00000000, 0.04000000, 0.96000000, 0.25252525
"14","Petal.Width", 4, 4, 1,3,0.009433962,3,0, 3.00000000, 0.00000000, 1.00000000, 3.00000000, 0.00000000, 0.25000000, 0.75000000, 0.04040404
"28","<leaf>", 1, 1, 0,2,0.000000000,0,0, 2.00000000, 0.00000000, 1.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.01010101
"29","<leaf>", 3, 3, 0,3,0.000000000,0,0, 3.00000000, 0.00000000, 0.00000000, 3.00000000, 0.00000000, 0.00000000, 1.00000000, 0.03030303
"15","<leaf>",21,21, 0,3,0.000000000,0,0, 3.00000000, 0.00000000, 0.00000000,21.00000000, 0.00000000, 0.00000000, 1.00000000, 0.21212121
