"","var","n","wt","dev","yval","complexity","ncompete","nsurrogate","yval2.","yval2.","yval2.","yval2.","yval2.","yval2.","yval2.","yval2.nodeprob"
"1","Petal.Length",99,99,50,1,0.56,3,3, 1.00000000,49.00000000,22.00000000,28.00000000, 0.49494949, 0.22222222, 0.28282828, 1.00000000
"2","<leaf>",49,49, 0,1,0.00,0,0, 1.00000000,49.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.00000000, 0.49494949
"3","Petal.Length",50,50,22,3,0.38,3,3, 3.00000000, 0.00000000,22.00000000,28.00000000, 0.00000000, 0.44000000, 0.56000000, 0.50505051
"6","Petal.Width",23,23, 2,2,0.02,3,1, 2.00000000, 0.00000000,21.00000000, 2.00000000, 0.00000000, 0.91304348, 0.08695652, 0.23232323
"12","<leaf>",20,20, 0,2,0.00,0,0, 2.00000000, 0.00000000,20.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.20202020
"13","Sepal.Width", 3, 3, 1,3,0.02,3,0, 3.00000000, 0.00000000, 1.00000000, 2.00000000, 0.00000000, 0.33333333, 0.66666667, 0.03030303
"26","<leaf>", 1, 1, 0,2,0.00,0,0, 2.00000000, 0.00000000, 1.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.01010101
"27","<leaf>", 2, 2, 0,3,0.00,0,0, 3.00000000, 0.00000000, 0.00000000, 2.00000000, 0.00000000, 0.00000000, 1.00000000, 0.02020202
"7","Petal.Length",27,27, 1,3,0.01,3,0, 3.00000000, 0.00000000, 1.00000000,26.00000000, 0.00000000, 0.03703704, 0.96296296, 0.27272727
"14","Sepal.Length", 3, 3, 1,3,0.01,2,0, 3.00000000, 0.00000000, 1.00000000, 2.00000000, 0.00000000, 0.33333333, 0.66666667, 0.03030303
"28","<leaf>", 1, 1, 0,2,0.00,0,0, 2.00000000, 0.00000000, 1.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.01010101
"29","<leaf>", 2, 2, 0,3,0.00,0,0, 3.00000000, 0.00000000, 0.00000000, 2.00000000, 0.00000000, 0.00000000, 1.00000000, 0.02020202
"15","<leaf>",24,24, 0,3,0.00,0,0, 3.00000000, 0.00000000, 0.00000000,24.00000000, 0.00000000, 0.00000000, 1.00000000, 0.24242424
