"","var","n","wt","dev","yval","complexity","ncompete","nsurrogate","yval2.","yval2.","yval2.","yval2.","yval2.","yval2.","yval2.","yval2.nodeprob"
"1","Petal.Length",100,100,48,2,0.52083333,3,3, 2.0000000,25.0000000,52.0000000,23.0000000, 0.2500000, 0.5200000, 0.2300000, 1.0000000
"2","<leaf>", 25, 25, 0,1,0.00000000,0,0, 1.0000000,25.0000000, 0.0000000, 0.0000000, 1.0000000, 0.0000000, 0.0000000, 0.2500000
"3","Petal.Length", 75, 75,23,2,0.41666667,3,3, 2.0000000, 0.0000000,52.0000000,23.0000000, 0.0000000, 0.6933333, 0.3066667, 0.7500000
"6","<leaf>", 49, 49, 0,2,0.00000000,0,0, 2.0000000, 0.0000000,49.0000000, 0.0000000, 0.0000000, 1.0000000, 0.0000000, 0.4900000
"7","Petal.Length", 26, 26, 3,3,0.02083333,3,2, 3.0000000, 0.0000000, 3.0000000,23.0000000, 0.0000000, 0.1153846, 0.8846154, 0.2600000
"14","Sepal.Length",  6,  6, 3,2,0.02083333,2,1, 2.0000000, 0.0000000, 3.0000000, 3.0000000, 0.0000000, 0.5000000, 0.5000000, 0.0600000
"28","<leaf>",  2,  2, 0,2,0.00000000,0,0, 2.0000000, 0.0000000, 2.0000000, 0.0000000, 0.0000000, 1.0000000, 0.0000000, 0.0200000
"29","Sepal.Length",  4,  4, 1,3,0.02083333,3,0, 3.0000000, 0.0000000, 1.0000000, 3.0000000, 0.0000000, 0.2500000, 0.7500000, 0.0400000
"58","<leaf>",  1,  1, 0,2,0.00000000,0,0, 2.0000000, 0.0000000, 1.0000000, 0.0000000, 0.0000000, 1.0000000, 0.0000000, 0.0100000
"59","<leaf>",  3,  3, 0,3,0.00000000,0,0, 3.0000000, 0.0000000, 0.0000000, 3.0000000, 0.0000000, 0.0000000, 1.0000000, 0.0300000
"15","<leaf>", 20, 20, 0,3,0.00000000,0,0, 3.0000000, 0.0000000, 0.0000000,20.0000000, 0.0000000, 0.0000000, 1.0000000, 0.2000000
