"","var","n","wt","dev","yval","complexity","ncompete","nsurrogate","yval2.","yval2.","yval2.","yval2.","yval2.","yval2.","yval2.","yval2.nodeprob"
"1","Petal.Length",100,100,44,2,0.54545455,3,3, 2.00000000,24.00000000,56.00000000,20.00000000, 0.24000000, 0.56000000, 0.20000000, 1.00000000
"2","<leaf>", 24, 24, 0,1,0.00000000,0,0, 1.00000000,24.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.00000000, 0.24000000
"3","Petal.Width", 76, 76,20,2,0.38636364,3,3, 2.00000000, 0.00000000,56.00000000,20.00000000, 0.00000000, 0.73684211, 0.26315789, 0.76000000
"6","Petal.Length", 59, 59, 3,2,0.04545455,3,0, 2.00000000, 0.00000000,56.00000000, 3.00000000, 0.00000000, 0.94915254, 0.05084746, 0.59000000
"12","Sepal.Width", 57, 57, 1,2,0.01136364,3,0, 2.00000000, 0.00000000,56.00000000, 1.00000000, 0.00000000, 0.98245614, 0.01754386, 0.57000000
"24","<leaf>", 53, 53, 0,2,0.00000000,0,0, 2.00000000, 0.00000000,53.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.53000000
"25","Petal.Length",  4,  4, 1,2,0.01136364,3,0, 2.00000000, 0.00000000, 3.00000000, 1.00000000, 0.00000000, 0.75000000, 0.25000000, 0.04000000
"50","<leaf>",  3,  3, 0,2,0.00000000,0,0, 2.00000000, 0.00000000, 3.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.03000000
"51","<leaf>",  1,  1, 0,3,0.00000000,0,0, 3.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.00000000, 1.00000000, 0.01000000
"13","<leaf>",  2,  2, 0,3,0.00000000,0,0, 3.00000000, 0.00000000, 0.00000000, 2.00000000, 0.00000000, 0.00000000, 1.00000000, 0.02000000
"7","<leaf>", 17, 17, 0,3,0.00000000,0,0, 3.00000000, 0.00000000, 0.00000000,17.00000000, 0.00000000, 0.00000000, 1.00000000, 0.17000000
