"","var","n","wt","dev","yval","complexity","ncompete","nsurrogate","yval2.","yval2.","yval2.","yval2.","yval2.","yval2.","yval2.","yval2.nodeprob"
"1","Petal.Length",99,99,48,1,0.52083333,3,3, 1.00000000,51.00000000,23.00000000,25.00000000, 0.51515152, 0.23232323, 0.25252525, 1.00000000
"2","<leaf>",51,51, 0,1,0.00000000,0,0, 1.00000000,51.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.00000000, 0.51515152
"3","Petal.Length",48,48,23,3,0.43750000,3,3, 3.00000000, 0.00000000,23.00000000,25.00000000, 0.00000000, 0.47916667, 0.52083333, 0.48484848
"6","<leaf>",21,21, 0,2,0.00000000,0,0, 2.00000000, 0.00000000,21.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.21212121
"7","Petal.Length",27,27, 2,3,0.01388889,3,2, 3.00000000, 0.00000000, 2.00000000,25.00000000, 0.00000000, 0.07407407, 0.92592593, 0.27272727
"14","Sepal.Length", 5, 5, 2,3,0.01388889,3,0, 3.00000000, 0.00000000, 2.00000000, 3.00000000, 0.00000000, 0.40000000, 0.60000000, 0.05050505
"28","<leaf>", 1, 1, 0,2,0.00000000,0,0, 2.00000000, 0.00000000, 1.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.01010101
"29","Sepal.Width", 4, 4, 1,3,0.01388889,3,0, 3.00000000, 0.00000000, 1.00000000, 3.00000000, 0.00000000, 0.25000000, 0.75000000, 0.04040404
"58","<leaf>", 1, 1, 0,2,0.00000000,0,0, 2.00000000, 0.00000000, 1.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.01010101
"59","<leaf>", 3, 3, 0,3,0.00000000,0,0, 3.00000000, 0.00000000, 0.00000000, 3.00000000, 0.00000000, 0.00000000, 1.00000000, 0.03030303
"15","<leaf>",22,22, 0,3,0.00000000,0,0, 3.00000000, 0.00000000, 0.00000000,22.00000000, 0.00000000, 0.00000000, 1.00000000, 0.22222222
