"","var","n","wt","dev","yval","complexity","ncompete","nsurrogate","yval2.","yval2.","yval2.","yval2.","yval2.","yval2.","yval2.","yval2.nodeprob"
"1","Petal.Length",100,100,47,1,0.65957447,3,3, 1.00000000,53.00000000,16.00000000,31.00000000, 0.53000000, 0.16000000, 0.31000000, 1.00000000
"2","<leaf>", 53, 53, 0,1,0.00000000,0,0, 1.00000000,53.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.00000000, 0.53000000
"3","Petal.Width", 47, 47,16,3,0.27659574,3,3, 3.00000000, 0.00000000,16.00000000,31.00000000, 0.00000000, 0.34042553, 0.65957447, 0.47000000
"6","Petal.Length", 17, 17, 2,2,0.04255319,3,0, 2.00000000, 0.00000000,15.00000000, 2.00000000, 0.00000000, 0.88235294, 0.11764706, 0.17000000
"12","<leaf>", 15, 15, 0,2,0.00000000,0,0, 2.00000000, 0.00000000,15.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.15000000
"13","<leaf>",  2,  2, 0,3,0.00000000,0,0, 3.00000000, 0.00000000, 0.00000000, 2.00000000, 0.00000000, 0.00000000, 1.00000000, 0.02000000
"7","Petal.Length", 30, 30, 1,3,0.01063830,3,0, 3.00000000, 0.00000000, 1.00000000,29.00000000, 0.00000000, 0.03333333, 0.96666667, 0.30000000
"14","Sepal.Length",  3,  3, 1,3,0.01063830,1,0, 3.00000000, 0.00000000, 1.00000000, 2.00000000, 0.00000000, 0.33333333, 0.66666667, 0.03000000
"28","<leaf>",  1,  1, 0,2,0.00000000,0,0, 2.00000000, 0.00000000, 1.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.01000000
"29","<leaf>",  2,  2, 0,3,0.00000000,0,0, 3.00000000, 0.00000000, 0.00000000, 2.00000000, 0.00000000, 0.00000000, 1.00000000, 0.02000000
"15","<leaf>", 27, 27, 0,3,0.00000000,0,0, 3.00000000, 0.00000000, 0.00000000,27.00000000, 0.00000000, 0.00000000, 1.00000000, 0.27000000
