"","var","n","wt","dev","yval","complexity","ncompete","nsurrogate","yval2.","yval2.","yval2.","yval2.","yval2.","yval2.","yval2.","yval2.nodeprob"
"1","Petal.Width",100,100,49,3,0.55102041,3,3, 3.00000000,28.00000000,21.00000000,51.00000000, 0.28000000, 0.21000000, 0.51000000, 1.00000000
"2","Petal.Length", 49, 49,21,1,0.40816327,3,3, 1.00000000,28.00000000,20.00000000, 1.00000000, 0.57142857, 0.40816327, 0.02040816, 0.49000000
"4","<leaf>", 28, 28, 0,1,0.00000000,0,0, 1.00000000,28.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.00000000, 0.28000000
"5","Petal.Length", 21, 21, 1,2,0.02040816,3,0, 2.00000000, 0.00000000,20.00000000, 1.00000000, 0.00000000, 0.95238095, 0.04761905, 0.21000000
"10","<leaf>", 20, 20, 0,2,0.00000000,0,0, 2.00000000, 0.00000000,20.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.20000000
"11","<leaf>",  1,  1, 0,3,0.00000000,0,0, 3.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.00000000, 1.00000000, 0.01000000
"3","Petal.Length", 51, 51, 1,3,0.01020408,3,1, 3.00000000, 0.00000000, 1.00000000,50.00000000, 0.00000000, 0.01960784, 0.98039216, 0.51000000
"6","Sepal.Length",  3,  3, 1,3,0.01020408,1,0, 3.00000000, 0.00000000, 1.00000000, 2.00000000, 0.00000000, 0.33333333, 0.66666667, 0.03000000
"12","<leaf>",  1,  1, 0,2,0.00000000,0,0, 2.00000000, 0.00000000, 1.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.01000000
"13","<leaf>",  2,  2, 0,3,0.00000000,0,0, 3.00000000, 0.00000000, 0.00000000, 2.00000000, 0.00000000, 0.00000000, 1.00000000, 0.02000000
"7","<leaf>", 48, 48, 0,3,0.00000000,0,0, 3.00000000, 0.00000000, 0.00000000,48.00000000, 0.00000000, 0.00000000, 1.00000000, 0.48000000
