"","var","n","wt","dev","yval","complexity","ncompete","nsurrogate","yval2.","yval2.","yval2.","yval2.","yval2.","yval2.","yval2.","yval2.nodeprob"
"1","Petal.Length",99,99,53,2,0.471698113,3,3, 2.00000000,25.00000000,46.00000000,28.00000000, 0.25252525, 0.46464646, 0.28282828, 1.00000000
"2","<leaf>",25,25, 0,1,0.000000000,0,0, 1.00000000,25.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.00000000, 0.25252525
"3","Petal.Length",74,74,28,2,0.415094340,3,3, 2.00000000, 0.00000000,46.00000000,28.00000000, 0.00000000, 0.62162162, 0.37837838, 0.74747475
"6","Petal.Width",50,50, 5,2,0.075471698,3,0, 2.00000000, 0.00000000,45.00000000, 5.00000000, 0.00000000, 0.90000000, 0.10000000, 0.50505051
"12","<leaf>",44,44, 0,2,0.000000000,0,0, 2.00000000, 0.00000000,44.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.44444444
"13","Sepal.Width", 6, 6, 1,3,0.018867925,3,0, 3.00000000, 0.00000000, 1.00000000, 5.00000000, 0.00000000, 0.16666667, 0.83333333, 0.06060606
"26","<leaf>", 1, 1, 0,2,0.000000000,0,0, 2.00000000, 0.00000000, 1.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.01010101
"27","<leaf>", 5, 5, 0,3,0.000000000,0,0, 3.00000000, 0.00000000, 0.00000000, 5.00000000, 0.00000000, 0.00000000, 1.00000000, 0.05050505
"7","Petal.Length",24,24, 1,3,0.009433962,3,1, 3.00000000, 0.00000000, 1.00000000,23.00000000, 0.00000000, 0.04166667, 0.95833333, 0.24242424
"14","Sepal.Length", 3, 3, 1,3,0.009433962,2,0, 3.00000000, 0.00000000, 1.00000000, 2.00000000, 0.00000000, 0.33333333, 0.66666667, 0.03030303
"28","<leaf>", 1, 1, 0,2,0.000000000,0,0, 2.00000000, 0.00000000, 1.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.01010101
"29","<leaf>", 2, 2, 0,3,0.000000000,0,0, 3.00000000, 0.00000000, 0.00000000, 2.00000000, 0.00000000, 0.00000000, 1.00000000, 0.02020202
"15","<leaf>",21,21, 0,3,0.000000000,0,0, 3.00000000, 0.00000000, 0.00000000,21.00000000, 0.00000000, 0.00000000, 1.00000000, 0.21212121
