"","var","n","wt","dev","yval","complexity","ncompete","nsurrogate","yval2.","yval2.","yval2.","yval2.","yval2.","yval2.","yval2.","yval2.nodeprob"
"1","Petal.Length",99,99,50,3,0.54,3,3, 3.00000000,28.00000000,22.00000000,49.00000000, 0.28282828, 0.22222222, 0.49494949, 1.00000000
"2","Petal.Length",49,49,21,1,0.40,3,3, 1.00000000,28.00000000,20.00000000, 1.00000000, 0.57142857, 0.40816327, 0.02040816, 0.49494949
"4","<leaf>",28,28, 0,1,0.00,0,0, 1.00000000,28.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.00000000, 0.28282828
"5","Petal.Width",21,21, 1,2,0.02,3,0, 2.00000000, 0.00000000,20.00000000, 1.00000000, 0.00000000, 0.95238095, 0.04761905, 0.21212121
"10","<leaf>",20,20, 0,2,0.00,0,0, 2.00000000, 0.00000000,20.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.20202020
"11","<leaf>", 1, 1, 0,3,0.00,0,0, 3.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.00000000, 1.00000000, 0.01010101
"3","Sepal.Width",50,50, 2,3,0.01,3,1, 3.00000000, 0.00000000, 2.00000000,48.00000000, 0.00000000, 0.04000000, 0.96000000, 0.50505051
"6","Petal.Length", 7, 7, 2,3,0.01,3,0, 3.00000000, 0.00000000, 2.00000000, 5.00000000, 0.00000000, 0.28571429, 0.71428571, 0.07070707
"12","<leaf>", 1, 1, 0,2,0.00,0,0, 2.00000000, 0.00000000, 1.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.01010101
"13","Petal.Width", 6, 6, 1,3,0.01,3,2, 3.00000000, 0.00000000, 1.00000000, 5.00000000, 0.00000000, 0.16666667, 0.83333333, 0.06060606
"26","Sepal.Width", 3, 3, 1,3,0.01,3,0, 3.00000000, 0.00000000, 1.00000000, 2.00000000, 0.00000000, 0.33333333, 0.66666667, 0.03030303
"52","<leaf>", 1, 1, 0,2,0.00,0,0, 2.00000000, 0.00000000, 1.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.01010101
"53","<leaf>", 2, 2, 0,3,0.00,0,0, 3.00000000, 0.00000000, 0.00000000, 2.00000000, 0.00000000, 0.00000000, 1.00000000, 0.02020202
"27","<leaf>", 3, 3, 0,3,0.00,0,0, 3.00000000, 0.00000000, 0.00000000, 3.00000000, 0.00000000, 0.00000000, 1.00000000, 0.03030303
"7","<leaf>",43,43, 0,3,0.00,0,0, 3.00000000, 0.00000000, 0.00000000,43.00000000, 0.00000000, 0.00000000, 1.00000000, 0.43434343
