"","var","n","wt","dev","yval","complexity","ncompete","nsurrogate","yval2.","yval2.","yval2.","yval2.","yval2.","yval2.","yval2.","yval2.nodeprob"
"1","Petal.Length",99,99,46,1,0.54347826,3,3, 1.00000000,53.00000000,21.00000000,25.00000000, 0.53535354, 0.21212121, 0.25252525, 1.00000000
"2","<leaf>",53,53, 0,1,0.00000000,0,0, 1.00000000,53.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.00000000, 0.53535354
"3","Petal.Length",46,46,21,3,0.39130435,3,3, 3.00000000, 0.00000000,21.00000000,25.00000000, 0.00000000, 0.45652174, 0.54347826, 0.46464646
"6","<leaf>",18,18, 0,2,0.00000000,0,0, 2.00000000, 0.00000000,18.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.18181818
"7","Petal.Width",28,28, 3,3,0.01449275,3,0, 3.00000000, 0.00000000, 3.00000000,25.00000000, 0.00000000, 0.10714286, 0.89285714, 0.28282828
"14","Sepal.Length", 4, 4, 2,2,0.01449275,3,0, 2.00000000, 0.00000000, 2.00000000, 2.00000000, 0.00000000, 0.50000000, 0.50000000, 0.04040404
"28","<leaf>", 1, 1, 0,2,0.00000000,0,0, 2.00000000, 0.00000000, 1.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.01010101
"29","Petal.Width", 3, 3, 1,3,0.01449275,3,0, 3.00000000, 0.00000000, 1.00000000, 2.00000000, 0.00000000, 0.33333333, 0.66666667, 0.03030303
"58","<leaf>", 1, 1, 0,2,0.00000000,0,0, 2.00000000, 0.00000000, 1.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.01010101
"59","<leaf>", 2, 2, 0,3,0.00000000,0,0, 3.00000000, 0.00000000, 0.00000000, 2.00000000, 0.00000000, 0.00000000, 1.00000000, 0.02020202
"15","Petal.Length",24,24, 1,3,0.01086957,3,0, 3.00000000, 0.00000000, 1.00000000,23.00000000, 0.00000000, 0.04166667, 0.95833333, 0.24242424
"30","Sepal.Length", 3, 3, 1,3,0.01086957,1,0, 3.00000000, 0.00000000, 1.00000000, 2.00000000, 0.00000000, 0.33333333, 0.66666667, 0.03030303
"60","<leaf>", 1, 1, 0,2,0.00000000,0,0, 2.00000000, 0.00000000, 1.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.01010101
"61","<leaf>", 2, 2, 0,3,0.00000000,0,0, 3.00000000, 0.00000000, 0.00000000, 2.00000000, 0.00000000, 0.00000000, 1.00000000, 0.02020202
"31","<leaf>",21,21, 0,3,0.00000000,0,0, 3.00000000, 0.00000000, 0.00000000,21.00000000, 0.00000000, 0.00000000, 1.00000000, 0.21212121
