"","var","n","wt","dev","yval","complexity","ncompete","nsurrogate","yval2.","yval2.","yval2.","yval2.","yval2.","yval2.","yval2.","yval2.nodeprob"
"1","Petal.Length",100,100,49,1,0.57142857,3,3, 1.00000000,51.00000000,28.00000000,21.00000000, 0.51000000, 0.28000000, 0.21000000, 1.00000000
"2","<leaf>", 51, 51, 0,1,0.00000000,0,0, 1.00000000,51.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.00000000, 0.51000000
"3","Petal.Width", 49, 49,21,2,0.38775510,3,3, 2.00000000, 0.00000000,28.00000000,21.00000000, 0.00000000, 0.57142857, 0.42857143, 0.49000000
"6","<leaf>", 26, 26, 0,2,0.00000000,0,0, 2.00000000, 0.00000000,26.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.26000000
"7","Petal.Length", 23, 23, 2,3,0.01360544,3,3, 3.00000000, 0.00000000, 2.00000000,21.00000000, 0.00000000, 0.08695652, 0.91304348, 0.23000000
"14","Sepal.Length",  6,  6, 2,3,0.01360544,3,0, 3.00000000, 0.00000000, 2.00000000, 4.00000000, 0.00000000, 0.33333333, 0.66666667, 0.06000000
"28","<leaf>",  1,  1, 0,2,0.00000000,0,0, 2.00000000, 0.00000000, 1.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.01000000
"29","Sepal.Width",  5,  5, 1,3,0.01360544,3,0, 3.00000000, 0.00000000, 1.00000000, 4.00000000, 0.00000000, 0.20000000, 0.80000000, 0.05000000
"58","<leaf>",  1,  1, 0,2,0.00000000,0,0, 2.00000000, 0.00000000, 1.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.01000000
"59","<leaf>",  4,  4, 0,3,0.00000000,0,0, 3.00000000, 0.00000000, 0.00000000, 4.00000000, 0.00000000, 0.00000000, 1.00000000, 0.04000000
"15","<leaf>", 17, 17, 0,3,0.00000000,0,0, 3.00000000, 0.00000000, 0.00000000,17.00000000, 0.00000000, 0.00000000, 1.00000000, 0.17000000
