"","count","ncat","improve","index","adj"
"Petal.Length",99,-1,29.4069461740695,2.6,0
"Petal.Width",99,-1,29.4069461740695,0.75,0
"Sepal.Length",99,-1,19.7969050106981,5.45,0
"Sepal.Width",99,1,13.6577476896626,2.85,0
"Petal.Width",0,-1,1,0.75,1
"Sepal.Length",0,-1,0.929292929292929,5.45,0.730769230769231
"Sepal.Width",0,1,0.878787878787879,3.35,0.538461538461539
"Petal.Length",73,-1,28.2745331031545,4.95,0
"Petal.Width",73,-1,26.482397260274,1.65,0
"Sepal.Length",73,-1,11.5740639269406,6.2,0
"Sepal.Width",73,-1,5.7826307546379,2.85,0
"Petal.Width",0,-1,0.917808219178082,1.75,0.769230769230769
"Sepal.Length",0,-1,0.821917808219178,6.2,0.5
"Sepal.Width",0,-1,0.712328767123288,2.85,0.192307692307692
"Petal.Width",47,-1,2.49645390070922,1.65,0
"Sepal.Length",47,1,0.874231678486994,4.95,0
"Petal.Length",47,-1,0.445171849427167,4.45,0
"Sepal.Width",47,1,0.165501519756836,2.6,0
"Sepal.Width",3,1,1.33333333333333,3.1,0
"Sepal.Length",3,1,0.333333333333333,5.4,0
"Petal.Length",3,1,0.333333333333333,4.65,0
"Petal.Width",3,1,0.333333333333333,1.75,0
"Petal.Width",26,-1,0.423076923076922,1.7,0
"Sepal.Width",26,-1,0.256410256410256,2.75,0
"Sepal.Length",26,-1,0.208791208791208,6.15,0
"Petal.Length",26,-1,0.104895104895104,5.15,0
"Sepal.Length",4,-1,0.5,6.15,0
"Sepal.Width",4,-1,0.5,2.75,0
"Petal.Width",4,1,0.5,1.55,0
"Petal.Length",4,1,0.166666666666667,5.05,0
"Sepal.Width",0,-1,1,2.75,1
"Sepal.Width",2,1,1,2.45,0
"Petal.Length",2,1,1,5.05,0
"Petal.Width",2,1,1,1.55,0
