"","var","n","wt","dev","yval","complexity","ncompete","nsurrogate","yval2.","yval2.","yval2.","yval2.","yval2.","yval2.","yval2.","yval2.nodeprob"
"1","Petal.Length",99,99,46,2,0.58695652,3,3, 2.00000000,27.00000000,53.00000000,19.00000000, 0.27272727, 0.53535354, 0.19191919, 1.00000000
"2","<leaf>",27,27, 0,1,0.00000000,0,0, 1.00000000,27.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.00000000, 0.27272727
"3","Petal.Width",72,72,19,2,0.34782609,3,3, 2.00000000, 0.00000000,53.00000000,19.00000000, 0.00000000, 0.73611111, 0.26388889, 0.72727273
"6","Petal.Length",52,52, 1,2,0.01086957,3,0, 2.00000000, 0.00000000,51.00000000, 1.00000000, 0.00000000, 0.98076923, 0.01923077, 0.52525253
"12","<leaf>",50,50, 0,2,0.00000000,0,0, 2.00000000, 0.00000000,50.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.50505051
"13","Sepal.Width", 2, 2, 1,2,0.01086957,2,0, 2.00000000, 0.00000000, 1.00000000, 1.00000000, 0.00000000, 0.50000000, 0.50000000, 0.02020202
"26","<leaf>", 1, 1, 0,2,0.00000000,0,0, 2.00000000, 0.00000000, 1.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.01010101
"27","<leaf>", 1, 1, 0,3,0.00000000,0,0, 3.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.00000000, 1.00000000, 0.01010101
"7","Petal.Length",20,20, 2,3,0.01086957,3,3, 3.00000000, 0.00000000, 2.00000000,18.00000000, 0.00000000, 0.10000000, 0.90000000, 0.20202020
"14","Sepal.Length", 5, 5, 2,3,0.01086957,3,1, 3.00000000, 0.00000000, 2.00000000, 3.00000000, 0.00000000, 0.40000000, 0.60000000, 0.05050505
"28","Sepal.Length", 3, 3, 1,2,0.01086957,3,0, 2.00000000, 0.00000000, 2.00000000, 1.00000000, 0.00000000, 0.66666667, 0.33333333, 0.03030303
"56","<leaf>", 1, 1, 0,2,0.00000000,0,0, 2.00000000, 0.00000000, 1.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.01010101
"57","Sepal.Length", 2, 2, 1,2,0.01086957,2,0, 2.00000000, 0.00000000, 1.00000000, 1.00000000, 0.00000000, 0.50000000, 0.50000000, 0.02020202
"114","<leaf>", 1, 1, 0,2,0.00000000,0,0, 2.00000000, 0.00000000, 1.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.01010101
"115","<leaf>", 1, 1, 0,3,0.00000000,0,0, 3.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.00000000, 1.00000000, 0.01010101
"29","<leaf>", 2, 2, 0,3,0.00000000,0,0, 3.00000000, 0.00000000, 0.00000000, 2.00000000, 0.00000000, 0.00000000, 1.00000000, 0.02020202
"15","<leaf>",15,15, 0,3,0.00000000,0,0, 3.00000000, 0.00000000, 0.00000000,15.00000000, 0.00000000, 0.00000000, 1.00000000, 0.15151515
