"","var","n","wt","dev","yval","complexity","ncompete","nsurrogate","yval2.","yval2.","yval2.","yval2.","yval2.","yval2.","yval2.","yval2.nodeprob"
"1","Petal.Length",99,99,51,2,0.470588235,3,3, 2.00000000,24.00000000,48.00000000,27.00000000, 0.24242424, 0.48484848, 0.27272727, 1.00000000
"2","<leaf>",24,24, 0,1,0.000000000,0,0, 1.00000000,24.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.00000000, 0.24242424
"3","Petal.Length",75,75,27,2,0.470588235,3,3, 2.00000000, 0.00000000,48.00000000,27.00000000, 0.00000000, 0.64000000, 0.36000000, 0.75757576
"6","Petal.Width",47,47, 1,2,0.009803922,3,1, 2.00000000, 0.00000000,46.00000000, 1.00000000, 0.00000000, 0.97872340, 0.02127660, 0.47474747
"12","<leaf>",45,45, 0,2,0.000000000,0,0, 2.00000000, 0.00000000,45.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.45454545
"13","Sepal.Length", 2, 2, 1,2,0.009803922,1,0, 2.00000000, 0.00000000, 1.00000000, 1.00000000, 0.00000000, 0.50000000, 0.50000000, 0.02020202
"26","<leaf>", 1, 1, 0,2,0.000000000,0,0, 2.00000000, 0.00000000, 1.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.01010101
"27","<leaf>", 1, 1, 0,3,0.000000000,0,0, 3.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.00000000, 1.00000000, 0.01010101
"7","Petal.Width",28,28, 2,3,0.013071895,3,1, 3.00000000, 0.00000000, 2.00000000,26.00000000, 0.00000000, 0.07142857, 0.92857143, 0.28282828
"14","Sepal.Width", 5, 5, 2,3,0.013071895,3,2, 3.00000000, 0.00000000, 2.00000000, 3.00000000, 0.00000000, 0.40000000, 0.60000000, 0.05050505
"28","Sepal.Length", 3, 3, 1,2,0.013071895,3,0, 2.00000000, 0.00000000, 2.00000000, 1.00000000, 0.00000000, 0.66666667, 0.33333333, 0.03030303
"56","<leaf>", 2, 2, 0,2,0.000000000,0,0, 2.00000000, 0.00000000, 2.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.02020202
"57","<leaf>", 1, 1, 0,3,0.000000000,0,0, 3.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.00000000, 1.00000000, 0.01010101
"29","<leaf>", 2, 2, 0,3,0.000000000,0,0, 3.00000000, 0.00000000, 0.00000000, 2.00000000, 0.00000000, 0.00000000, 1.00000000, 0.02020202
"15","<leaf>",23,23, 0,3,0.000000000,0,0, 3.00000000, 0.00000000, 0.00000000,23.00000000, 0.00000000, 0.00000000, 1.00000000, 0.23232323
