"","var","n","wt","dev","yval","complexity","ncompete","nsurrogate","yval2.","yval2.","yval2.","yval2.","yval2.","yval2.","yval2.","yval2.nodeprob"
"1","Petal.Length",99,99,49,1,0.51020408,3,3, 1.00000000,50.00000000,24.00000000,25.00000000, 0.50505051, 0.24242424, 0.25252525, 1.00000000
"2","<leaf>",50,50, 0,1,0.00000000,0,0, 1.00000000,50.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.00000000, 0.50505051
"3","Petal.Length",49,49,24,3,0.42857143,3,3, 3.00000000, 0.00000000,24.00000000,25.00000000, 0.00000000, 0.48979592, 0.51020408, 0.49494949
"6","<leaf>",21,21, 0,2,0.00000000,0,0, 2.00000000, 0.00000000,21.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.21212121
"7","Petal.Width",28,28, 3,3,0.02040816,3,0, 3.00000000, 0.00000000, 3.00000000,25.00000000, 0.00000000, 0.10714286, 0.89285714, 0.28282828
"14","Sepal.Length", 5, 5, 2,2,0.02040816,3,0, 2.00000000, 0.00000000, 3.00000000, 2.00000000, 0.00000000, 0.60000000, 0.40000000, 0.05050505
"28","Sepal.Width", 4, 4, 1,2,0.02040816,3,0, 2.00000000, 0.00000000, 3.00000000, 1.00000000, 0.00000000, 0.75000000, 0.25000000, 0.04040404
"56","<leaf>", 3, 3, 0,2,0.00000000,0,0, 2.00000000, 0.00000000, 3.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.03030303
"57","<leaf>", 1, 1, 0,3,0.00000000,0,0, 3.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.00000000, 1.00000000, 0.01010101
"29","<leaf>", 1, 1, 0,3,0.00000000,0,0, 3.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.00000000, 1.00000000, 0.01010101
"15","<leaf>",23,23, 0,3,0.00000000,0,0, 3.00000000, 0.00000000, 0.00000000,23.00000000, 0.00000000, 0.00000000, 1.00000000, 0.23232323
