"","var","n","wt","dev","yval","complexity","ncompete","nsurrogate","yval2.","yval2.","yval2.","yval2.","yval2.","yval2.","yval2.","yval2.nodeprob"
"1","Petal.Width",99,99,53,3,0.490566038,3,3, 3.00000000,27.00000000,26.00000000,46.00000000, 0.27272727, 0.26262626, 0.46464646, 1.00000000
"2","Petal.Length",53,53,26,1,0.471698113,3,3, 1.00000000,27.00000000,25.00000000, 1.00000000, 0.50943396, 0.47169811, 0.01886792, 0.53535354
"4","<leaf>",27,27, 0,1,0.000000000,0,0, 1.00000000,27.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.00000000, 0.27272727
"5","Petal.Length",26,26, 1,2,0.018867925,3,0, 2.00000000, 0.00000000,25.00000000, 1.00000000, 0.00000000, 0.96153846, 0.03846154, 0.26262626
"10","<leaf>",25,25, 0,2,0.000000000,0,0, 2.00000000, 0.00000000,25.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.25252525
"11","<leaf>", 1, 1, 0,3,0.000000000,0,0, 3.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.00000000, 1.00000000, 0.01010101
"3","Petal.Length",46,46, 1,3,0.009433962,3,1, 3.00000000, 0.00000000, 1.00000000,45.00000000, 0.00000000, 0.02173913, 0.97826087, 0.46464646
"6","Sepal.Width", 4, 4, 1,3,0.009433962,3,0, 3.00000000, 0.00000000, 1.00000000, 3.00000000, 0.00000000, 0.25000000, 0.75000000, 0.04040404
"12","<leaf>", 1, 1, 0,2,0.000000000,0,0, 2.00000000, 0.00000000, 1.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.01010101
"13","<leaf>", 3, 3, 0,3,0.000000000,0,0, 3.00000000, 0.00000000, 0.00000000, 3.00000000, 0.00000000, 0.00000000, 1.00000000, 0.03030303
"7","<leaf>",42,42, 0,3,0.000000000,0,0, 3.00000000, 0.00000000, 0.00000000,42.00000000, 0.00000000, 0.00000000, 1.00000000, 0.42424242
