"","var","n","wt","dev","yval","complexity","ncompete","nsurrogate","yval2.","yval2.","yval2.","yval2.","yval2.","yval2.","yval2.","yval2.nodeprob"
"1","Petal.Length",99,99,52,2,0.538461538,3,3, 2.00000000,28.00000000,47.00000000,24.00000000, 0.28282828, 0.47474747, 0.24242424, 1.00000000
"2","<leaf>",28,28, 0,1,0.000000000,0,0, 1.00000000,28.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.00000000, 0.28282828
"3","Petal.Width",71,71,24,2,0.403846154,3,3, 2.00000000, 0.00000000,47.00000000,24.00000000, 0.00000000, 0.66197183, 0.33802817, 0.71717172
"6","Petal.Length",46,46, 1,2,0.009615385,3,0, 2.00000000, 0.00000000,45.00000000, 1.00000000, 0.00000000, 0.97826087, 0.02173913, 0.46464646
"12","<leaf>",44,44, 0,2,0.000000000,0,0, 2.00000000, 0.00000000,44.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.44444444
"13","Sepal.Length", 2, 2, 1,2,0.009615385,2,0, 2.00000000, 0.00000000, 1.00000000, 1.00000000, 0.00000000, 0.50000000, 0.50000000, 0.02020202
"26","<leaf>", 1, 1, 0,2,0.000000000,0,0, 2.00000000, 0.00000000, 1.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.01010101
"27","<leaf>", 1, 1, 0,3,0.000000000,0,0, 3.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.00000000, 1.00000000, 0.01010101
"7","Petal.Length",25,25, 2,3,0.012820513,3,2, 3.00000000, 0.00000000, 2.00000000,23.00000000, 0.00000000, 0.08000000, 0.92000000, 0.25252525
"14","Sepal.Length", 5, 5, 2,3,0.012820513,3,0, 3.00000000, 0.00000000, 2.00000000, 3.00000000, 0.00000000, 0.40000000, 0.60000000, 0.05050505
"28","<leaf>", 1, 1, 0,2,0.000000000,0,0, 2.00000000, 0.00000000, 1.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.01010101
"29","Sepal.Width", 4, 4, 1,3,0.012820513,3,0, 3.00000000, 0.00000000, 1.00000000, 3.00000000, 0.00000000, 0.25000000, 0.75000000, 0.04040404
"58","<leaf>", 1, 1, 0,2,0.000000000,0,0, 2.00000000, 0.00000000, 1.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.01010101
"59","<leaf>", 3, 3, 0,3,0.000000000,0,0, 3.00000000, 0.00000000, 0.00000000, 3.00000000, 0.00000000, 0.00000000, 1.00000000, 0.03030303
"15","<leaf>",20,20, 0,3,0.000000000,0,0, 3.00000000, 0.00000000, 0.00000000,20.00000000, 0.00000000, 0.00000000, 1.00000000, 0.20202020
