"","var","n","wt","dev","yval","complexity","ncompete","nsurrogate","yval2.","yval2.","yval2.","yval2.","yval2.","yval2.","yval2.","yval2.nodeprob"
"1","Petal.Length",99,99,52,1,0.519230769,3,3, 1.00000000,47.00000000,25.00000000,27.00000000, 0.47474747, 0.25252525, 0.27272727, 1.00000000
"2","<leaf>",47,47, 0,1,0.000000000,0,0, 1.00000000,47.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.00000000, 0.47474747
"3","Petal.Width",52,52,25,3,0.423076923,3,3, 3.00000000, 0.00000000,25.00000000,27.00000000, 0.00000000, 0.48076923, 0.51923077, 0.52525253
"6","Petal.Length",26,26, 2,2,0.019230769,3,0, 2.00000000, 0.00000000,24.00000000, 2.00000000, 0.00000000, 0.92307692, 0.07692308, 0.26262626
"12","Sepal.Length",25,25, 1,2,0.009615385,3,0, 2.00000000, 0.00000000,24.00000000, 1.00000000, 0.00000000, 0.96000000, 0.04000000, 0.25252525
"24","<leaf>",23,23, 0,2,0.000000000,0,0, 2.00000000, 0.00000000,23.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.23232323
"25","Sepal.Width", 2, 2, 1,2,0.009615385,2,0, 2.00000000, 0.00000000, 1.00000000, 1.00000000, 0.00000000, 0.50000000, 0.50000000, 0.02020202
"50","<leaf>", 1, 1, 0,2,0.000000000,0,0, 2.00000000, 0.00000000, 1.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.01010101
"51","<leaf>", 1, 1, 0,3,0.000000000,0,0, 3.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.00000000, 1.00000000, 0.01010101
"13","<leaf>", 1, 1, 0,3,0.000000000,0,0, 3.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.00000000, 1.00000000, 0.01010101
"7","Petal.Length",26,26, 1,3,0.009615385,3,0, 3.00000000, 0.00000000, 1.00000000,25.00000000, 0.00000000, 0.03846154, 0.96153846, 0.26262626
"14","Sepal.Length", 2, 2, 1,2,0.009615385,1,0, 2.00000000, 0.00000000, 1.00000000, 1.00000000, 0.00000000, 0.50000000, 0.50000000, 0.02020202
"28","<leaf>", 1, 1, 0,2,0.000000000,0,0, 2.00000000, 0.00000000, 1.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.01010101
"29","<leaf>", 1, 1, 0,3,0.000000000,0,0, 3.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.00000000, 1.00000000, 0.01010101
"15","<leaf>",24,24, 0,3,0.000000000,0,0, 3.00000000, 0.00000000, 0.00000000,24.00000000, 0.00000000, 0.00000000, 1.00000000, 0.24242424
