"","var","n","wt","dev","yval","complexity","ncompete","nsurrogate"
"1","petal_length",100,100,52.9600000000001,0.48,0.844499733428115,3,3
"2","<leaf>",66,66,0,0,0,0,0
"3","petal_width",34,34,8.23529411764706,1.41176470588235,0.10885018660032,3,3
"6","<leaf>",17,17,0,1,0,0,0
"7","petal_width",17,17,2.47058823529412,1.82352941176471,0.0116625199928914,3,3
"14","sepal_width",8,8,1.875,1.625,0.0116625199928914,3,0
"28","<leaf>",1,1,0,1,0,0,0
"29","petal_length",7,7,1.42857142857143,1.71428571428571,0.0116625199928914,3,2
"58","petal_length",4,4,1,1.5,0.0116625199928914,3,0
"116","<leaf>",2,2,0,1,0,0,0
"117","<leaf>",2,2,0,2,0,0,0
"59","<leaf>",3,3,0,2,0,0,0
"15","<leaf>",9,9,0,2,0,0,0
