"","var","n","wt","dev","yval","complexity","ncompete","nsurrogate"
"1","petal_length",100,100,46.36,0.42,0.846920315065824,3,3
"2","<leaf>",69,69,0,0,0,0,0
"3","petal_width",31,31,7.09677419354839,1.35483870967742,0.112978500527556,3,2
"6","petal_length",20,20,0.95,1.05,0.0204918032786885,3,0
"12","<leaf>",19,19,0,1,0,0,0
"13","<leaf>",1,1,0,2,0,0,0
"7","petal_width",11,11,0.909090909090909,1.90909090909091,0.0065364603759772,3,0
"14","sepal_length",3,3,0.666666666666667,1.66666666666667,0.0065364603759772,3,0
"28","sepal_length",2,2,0.5,1.5,0.0065364603759772,2,0
"56","<leaf>",1,1,0,1,0,0,0
"57","<leaf>",1,1,0,2,0,0,0
"29","<leaf>",1,1,0,2,0,0,0
"15","<leaf>",8,8,0,2,0,0,0
