"","var","n","wt","dev","yval","complexity","ncompete","nsurrogate"
"1","petal_length",100,100,52.9600000000001,1.52,0.792026807976693,3,3
"2","petal_length",34,34,10.0294117647059,0.617647058823529,0.171439043895504,3,3
"4","<leaf>",14,14,0,0,0,0,0
"5","petal_width",20,20,0.950000000000001,1.05,0.0179380664652568,3,0
"10","<leaf>",19,19,0,1,0,0,0
"11","<leaf>",1,1,0,2,0,0,0
"3","petal_width",66,66,0.984848484848482,1.98484848484848,0.00929804083127343,3,0
"6","sepal_length",2,2,0.5,1.5,0.00929804083127343,3,0
"12","<leaf>",1,1,0,1,0,0,0
"13","<leaf>",1,1,0,2,0,0,0
"7","<leaf>",64,64,0,2,0,0,0
