"","var","n","wt","dev","yval","complexity","ncompete","nsurrogate"
"1","petal_width",100,100,54.99,1.49,0.790144925339961,3,3
"2","petal_length",36,36,10.5555555555555,0.611111111111111,0.174634926407976,3,3
"4","<leaf>",15,15,0,0,0,0,0
"5","petal_length",21,21,0.952380952380953,1.04761904761905,0.00865958312766824,3,0
"10","<leaf>",19,19,0,1,0,0,0
"11","sepal_width",2,2,0.5,1.5,0.00865958312766824,2,0
"22","<leaf>",1,1,0,1,0,0,0
"23","<leaf>",1,1,0,2,0,0,0
"3","sepal_length",64,64,0.984375,1.984375,0.00895049099836334,3,0
"6","petal_length",3,3,0.666666666666667,1.66666666666667,0.00895049099836334,3,0
"12","<leaf>",1,1,0,1,0,0,0
"13","<leaf>",2,2,0,2,0,0,0
"7","<leaf>",61,61,0,2,0,0,0
