"","var","n","wt","dev","yval","complexity","ncompete","nsurrogate"
"1","petal_length",100,100,58.96,0.48,0.869785967523088,3,3
"2","<leaf>",69,69,0,0,0,0,0
"3","petal_width",31,31,7.67741935483871,1.54838709677419,0.0985018903609063,3,3
"6","petal_length",14,14,0.928571428571428,1.07142857142857,0.0157491761969374,3,0
"12","<leaf>",13,13,0,1,0,0,0
"13","<leaf>",1,1,0,2,0,0,0
"7","sepal_length",17,17,0.941176470588236,1.94117647058824,0.00798148295953388,3,0
"14","petal_length",3,3,0.666666666666667,1.66666666666667,0.00798148295953388,3,0
"28","<leaf>",1,1,0,1,0,0,0
"29","<leaf>",2,2,0,2,0,0,0
"15","<leaf>",14,14,0,2,0,0,0
