"","var","n","wt","dev","yval","complexity","ncompete","nsurrogate"
"1","petal_length",100,100,59,0.5,0.860297894196199,3,3
"2","<leaf>",67,67,0,0,0,0,0
"3","petal_length",33,33,8.24242424242425,1.51515151515152,0.109570279061805,3,3
"6","sepal_length",18,18,1.77777777777778,1.11111111111111,0.0141796831727041,3,0
"12","petal_width",17,17,0.941176470588236,1.05882352941176,0.00797607178464606,3,1
"24","<leaf>",15,15,0,1,0,0,0
"25","sepal_length",2,2,0.5,1.5,0.00797607178464606,1,0
"50","<leaf>",1,1,0,1,0,0,0
"51","<leaf>",1,1,0,2,0,0,0
"13","<leaf>",1,1,0,2,0,0,0
"7","<leaf>",15,15,0,2,0,0,0
