"","var","n","wt","dev","yval","complexity","ncompete","nsurrogate"
"1","petal_width",100,100,56.91,1.47,0.790844387576069,3,3
"2","petal_length",37,37,10.9189189189189,0.594594594594595,0.175128061264065,3,3
"4","<leaf>",16,16,0,0,0,0,0
"5","petal_length",21,21,0.952380952380953,1.04761904761905,0.0167348612261633,3,0
"10","<leaf>",20,20,0,1,0,0,0
"11","<leaf>",1,1,0,2,0,0,0
"3","petal_width",63,63,0.984126984126984,1.98412698412698,0.00864634496685102,3,0
"6","sepal_length",2,2,0.5,1.5,0.00864634496685102,2,0
"12","<leaf>",1,1,0,1,0,0,0
"13","<leaf>",1,1,0,2,0,0,0
"7","<leaf>",61,61,0,2,0,0,0
