"","var","n","wt","dev","yval","complexity","ncompete","nsurrogate"
"1","petal_length",100,100,58.99,0.51,0.855907780979827,3,3
"2","<leaf>",66,66,0,0,0,0,0
"3","petal_length",34,34,8.5,1.5,0.112182523458612,3,3
"6","petal_width",17,17,0.941176470588236,1.05882352941176,0.0079774238903902,3,0
"12","<leaf>",15,15,0,1,0,0,0
"13","sepal_length",2,2,0.5,1.5,0.0079774238903902,3,0
"26","<leaf>",1,1,0,1,0,0,0
"27","<leaf>",1,1,0,2,0,0,0
"7","petal_width",17,17,0.941176470588236,1.94117647058824,0.0079774238903902,3,0
"14","sepal_length",2,2,0.5,1.5,0.0079774238903902,3,0
"28","<leaf>",1,1,0,1,0,0,0
"29","<leaf>",1,1,0,2,0,0,0
"15","<leaf>",15,15,0,2,0,0,0
