"","var","n","wt","dev","yval","complexity","ncompete","nsurrogate"
"1","petal_length",100,100,32.99,1.01,0.588980787828924,3,3
"2","<leaf>",16,16,0,0,0,0,0
"3","petal_length",84,84,13.5595238095238,1.20238095238095,0.352630273175808,3,3
"6","sepal_length",67,67,0.985074626865668,1.01492537313433,0.0298597946912903,3,0
"12","<leaf>",66,66,0,1,0,0,0
"13","<leaf>",1,1,0,2,0,0,0
"7","sepal_length",17,17,0.941176470588236,1.94117647058824,0.00950971476799269,3,2
"14","petal_width",3,3,0.666666666666667,1.66666666666667,0.00950971476799269,3,0
"28","sepal_width",2,2,0.5,1.5,0.00950971476799269,2,0
"56","<leaf>",1,1,0,1,0,0,0
"57","<leaf>",1,1,0,2,0,0,0
"29","<leaf>",1,1,0,2,0,0,0
"15","<leaf>",14,14,0,2,0,0,0
