"","var","n","wt","dev","yval","complexity","ncompete","nsurrogate"
"1","petal_length",100,100,35.84,1.04,0.594416000666,3,3
"2","petal_length",78,78,12.7179487179488,0.794871794871795,0.354853479853481,3,3
"4","<leaf>",16,16,0,0,0,0,0
"5","<leaf>",62,62,0,1,0,0,0
"3","petal_width",22,22,1.81818181818182,1.90909090909091,0.0228287337662337,3,1
"6","sepal_width",4,4,1,1.5,0.0139508928571428,2,0
"12","sepal_width",3,3,0.666666666666667,1.33333333333333,0.0139508928571428,3,0
"24","<leaf>",2,2,0,1,0,0,0
"25","<leaf>",1,1,0,2,0,0,0
"13","<leaf>",1,1,0,2,0,0,0
"7","<leaf>",18,18,0,2,0,0,0
