"","var","n","wt","dev","yval","complexity","ncompete","nsurrogate"
"1","petal_length",100,100,32.75,1.05,0.548020592934493,3,3
"2","<leaf>",14,14,0,0,0,0,0
"3","petal_width",86,86,14.8023255813953,1.22093023255814,0.338093233273958,3,3
"6","petal_length",67,67,1.94029850746269,1.02985074626866,0.038889521856367,3,1
"12","<leaf>",64,64,0,1,0,0,0
"13","sepal_length",3,3,0.666666666666667,1.66666666666667,0.0203562340966921,3,0
"26","<leaf>",1,1,0,1,0,0,0
"27","<leaf>",2,2,0,2,0,0,0
"7","petal_length",19,19,1.78947368421053,1.89473684210526,0.0273202089192447,3,3
"14","sepal_width",6,6,1.33333333333333,1.66666666666667,0.0273202089192447,3,1
"28","<leaf>",2,2,0,1,0,0,0
"29","<leaf>",4,4,0,2,0,0,0
"15","<leaf>",13,13,0,2,0,0,0
