"","var","n","wt","dev","yval","complexity","ncompete","nsurrogate"
"1","petal_length",100,100,54.91,0.47,0.854876160990712,3,3
"2","<leaf>",68,68,0,0,0,0,0
"3","petal_width",32,32,7.96875,1.46875,0.112985687809999,3,3
"6","<leaf>",15,15,0,1,0,0,0
"7","petal_length",17,17,1.76470588235294,1.88235294117647,0.0102842083837724,3,3
"14","sepal_width",5,5,1.2,1.6,0.00971286347356279,3,0
"28","sepal_length",3,3,0.666666666666667,1.33333333333333,0.00607053967097675,3,0
"56","<leaf>",1,1,0,1,0,0,0
"57","sepal_length",2,2,0.5,1.5,0.00607053967097675,2,0
"114","<leaf>",1,1,0,1,0,0,0
"115","<leaf>",1,1,0,2,0,0,0
"29","<leaf>",2,2,0,2,0,0,0
"15","<leaf>",12,12,0,2,0,0,0
