"","var","n","wt","dev","yval","complexity","ncompete","nsurrogate"
"1","petal_length",100,100,60.9600000000001,0.48,0.881889763779528,3,3
"2","<leaf>",70,70,0,0,0,0,0
"3","petal_length",30,30,7.2,1.6,0.0875801983085447,3,3
"6","sepal_length",12,12,0.916666666666667,1.08333333333333,0.0150371828521435,3,0
"12","<leaf>",11,11,0,1,0,0,0
"13","<leaf>",1,1,0,2,0,0,0
"7","petal_length",18,18,0.944444444444445,1.94444444444444,0.00774642752989209,3,0
"14","petal_width",3,3,0.666666666666667,1.66666666666667,0.00774642752989209,3,0
"28","<leaf>",1,1,0,1,0,0,0
"29","<leaf>",2,2,0,2,0,0,0
"15","<leaf>",15,15,0,2,0,0,0
