"","var","n","wt","dev","yval","complexity","ncompete","nsurrogate"
"1","petal_length",100,100,57,0.5,0.851393188854489,3,3
"2","<leaf>",66,66,0,0,0,0,0
"3","petal_length",34,34,8.47058823529412,1.47058823529412,0.115590241944731,3,3
"6","petal_width",18,18,0.944444444444445,1.05555555555556,0.00828460038986355,3,1
"12","<leaf>",16,16,0,1,0,0,0
"13","sepal_length",2,2,0.5,1.5,0.00828460038986355,1,0
"26","<leaf>",1,1,0,1,0,0,0
"27","<leaf>",1,1,0,2,0,0,0
"7","sepal_length",16,16,0.9375,1.9375,0.00822368421052632,3,0
"14","petal_width",3,3,0.666666666666667,1.66666666666667,0.00822368421052632,2,0
"28","<leaf>",1,1,0,1,0,0,0
"29","<leaf>",2,2,0,2,0,0,0
"15","<leaf>",13,13,0,2,0,0,0
