"","var","n","wt","dev","yval","complexity","ncompete","nsurrogate"
"1","petal_length",100,100,56.96,1.48,0.817240481483707,3,3
"2","petal_length",34,34,8.47058823529411,0.529411764705882,0.148711169861203,3,3
"4","<leaf>",16,16,0,0,0,0,0
"5","<leaf>",18,18,0,1,0,0,0
"3","petal_length",66,66,1.93939393939394,1.96969696969697,0.0111721144024515,3,2
"6","petal_width",8,8,1.5,1.75,0.0111721144024515,3,0
"12","petal_width",3,3,0.666666666666667,1.33333333333333,0.0111721144024515,3,0
"24","<leaf>",2,2,0,1,0,0,0
"25","<leaf>",1,1,0,2,0,0,0
"13","<leaf>",5,5,0,2,0,0,0
"7","<leaf>",58,58,0,2,0,0,0
