"","var","n","wt","dev","yval","complexity","ncompete","nsurrogate"
"1","petal_length",100,100,33.84,1.04,0.587428411829167,3,2
"2","petal_length",79,79,12.1518987341772,0.810126582278481,0.359098662357482,3,3
"4","<leaf>",15,15,0,0,0,0,0
"5","<leaf>",64,64,0,1,0,0,0
"3","sepal_length",21,21,1.80952380952381,1.9047619047619,0.0239220983901834,3,1
"6","sepal_length",4,4,1,1.5,0.00985027580772261,3,0
"12","sepal_width",3,3,0.666666666666667,1.33333333333333,0.00985027580772261,3,0
"24","<leaf>",1,1,0,1,0,0,0
"25","sepal_width",2,2,0.5,1.5,0.00985027580772261,2,0
"50","<leaf>",1,1,0,1,0,0,0
"51","<leaf>",1,1,0,2,0,0,0
"13","<leaf>",1,1,0,2,0,0,0
"7","<leaf>",17,17,0,2,0,0,0
