"","var","n","wt","dev","yval","complexity","ncompete","nsurrogate"
"1","petal_length",100,100,32.99,0.99,0.608497646238181,3,3
"2","<leaf>",17,17,0,0,0,0,0
"3","petal_width",83,83,12.9156626506024,1.19277108433735,0.333224856736488,3,3
"6","petal_length",67,67,0.985074626865671,1.01492537313433,0.0149298973456452,3,0
"12","<leaf>",65,65,0,1,0,0,0
"13","sepal_width",2,2,0.5,1.5,0.0149298973456452,2,0
"26","<leaf>",1,1,0,1,0,0,0
"27","<leaf>",1,1,0,2,0,0,0
"7","petal_width",16,16,0.9375,1.9375,0.0142088511670203,3,0
"14","sepal_length",2,2,0.5,1.5,0.0142088511670203,2,0
"28","<leaf>",1,1,0,1,0,0,0
"29","<leaf>",1,1,0,2,0,0,0
"15","<leaf>",14,14,0,2,0,0,0
