"","var","n","wt","dev","yval","complexity","ncompete","nsurrogate"
"1","petal_length",100,100,62.75,1.45,0.816996719006328,3,3
"2","petal_length",32,32,7.71875,0.40625,0.12300796812749,3,3
"4","<leaf>",19,19,0,0,0,0,0
"5","<leaf>",13,13,0,1,0,0,0
"3","petal_width",68,68,3.76470588235294,1.94117647058824,0.0323558706351067,3,1
"6","sepal_length",4,4,0.75,1.25,0.0119521912350598,3,0
"12","<leaf>",3,3,0,1,0,0,0
"13","<leaf>",1,1,0,2,0,0,0
"7","petal_length",64,64,0.984375,1.984375,0.00784362549800797,3,0
"14","sepal_length",2,2,0.5,1.5,0.00784362549800797,1,0
"28","<leaf>",1,1,0,1,0,0,0
"29","<leaf>",1,1,0,2,0,0,0
"15","<leaf>",62,62,0,2,0,0,0
