"","var","n","wt","dev","yval","complexity","ncompete","nsurrogate"
"1","petal_length",100,100,31.96,0.98,0.615483209433479,3,3
"2","<leaf>",17,17,0,0,0,0,0
"3","petal_length",83,83,12.289156626506,1.18072289156627,0.329300711644339,3,3
"6","<leaf>",66,66,0,1,0,0,0
"7","petal_width",17,17,1.76470588235294,1.88235294117647,0.0184053596407274,3,0
"14","petal_length",5,5,1.2,1.6,0.0184053596407274,3,0
"28","petal_width",3,3,0.666666666666667,1.33333333333333,0.0184053596407274,3,0
"56","<leaf>",2,2,0,1,0,0,0
"57","<leaf>",1,1,0,2,0,0,0
"29","<leaf>",2,2,0,2,0,0,0
"15","<leaf>",12,12,0,2,0,0,0
