"","var","n","wt","dev","yval","complexity","ncompete","nsurrogate"
"1","petal_length",100,100,29.96,1.02,0.565311888719843,3,3
"2","<leaf>",14,14,0,0,0,0,0
"3","petal_length",86,86,13.0232558139535,1.18604651162791,0.338660230600439,3,3
"6","petal_width",71,71,1.94366197183099,1.02816901408451,0.0426233412938692,3,1
"12","<leaf>",68,68,0,1,0,0,0
"13","sepal_width",3,3,0.666666666666667,1.66666666666667,0.0222518914107699,3,0
"26","<leaf>",1,1,0,1,0,0,0
"27","<leaf>",2,2,0,2,0,0,0
"7","petal_width",15,15,0.933333333333334,1.93333333333333,0.0155763239875389,3,1
"14","sepal_width",3,3,0.666666666666667,1.66666666666667,0.0155763239875389,3,0
"28","<leaf>",1,1,0,1,0,0,0
"29","<leaf>",2,2,0,2,0,0,0
"15","<leaf>",12,12,0,2,0,0,0
