"","var","n","wt","dev","yval","complexity","ncompete","nsurrogate"
"1","petal_length",100,100,32.91,1.03,0.568877687811678,3,3
"2","<leaf>",15,15,0,0,0,0,0
"3","petal_width",85,85,14.1882352941177,1.21176470588235,0.372492136821864,3,3
"6","petal_length",67,67,0.985074626865668,1.01492537313433,0.0299323800323813,3,0
"12","<leaf>",66,66,0,1,0,0,0
"13","<leaf>",1,1,0,2,0,0,0
"7","petal_width",18,18,0.944444444444445,1.94444444444444,0.0143488976670381,3,0
"14","sepal_length",2,2,0.5,1.5,0.0143488976670381,2,0
"28","<leaf>",1,1,0,1,0,0,0
"29","<leaf>",1,1,0,2,0,0,0
"15","<leaf>",16,16,0,2,0,0,0
