"","var","n","wt","dev","yval","complexity","ncompete","nsurrogate"
"1","petal_length",100,100,32.99,0.99,0.608497646238181,3,3
"2","<leaf>",17,17,0,0,0,0,0
"3","petal_length",83,83,12.9156626506024,1.19277108433735,0.337613970076527,3,3
"6","<leaf>",65,65,0,1,0,0,0
"7","sepal_length",18,18,1.77777777777778,1.88888888888889,0.0253592393813138,3,0
"14","<leaf>",1,1,0,1,0,0,0
"15","petal_width",17,17,0.941176470588236,1.94117647058824,0.014264572151989,3,3
"30","sepal_width",2,2,0.5,1.5,0.014264572151989,2,0
"60","<leaf>",1,1,0,1,0,0,0
"61","<leaf>",1,1,0,2,0,0,0
"31","<leaf>",15,15,0,2,0,0,0
