"","var","n","wt","dev","yval","complexity","ncompete","nsurrogate"
"1","petal_width",100,100,54.91,1.53,0.79376796734216,3,3
"2","petal_length",27,27,6.66666666666667,0.444444444444444,0.121410793419535,3,3
"4","<leaf>",15,15,0,0,0,0,0
"5","<leaf>",12,12,0,1,0,0,0
"3","petal_length",73,73,4.65753424657535,1.93150684931507,0.0506744535890611,3,2
"6","sepal_width",8,8,1.875,1.375,0.0204880713895465,3,3
"12","<leaf>",4,4,0,1,0,0,0
"13","petal_width",4,4,0.75,1.75,0.0136587142596977,3,0
"26","<leaf>",1,1,0,1,0,0,0
"27","<leaf>",3,3,0,2,0,0,0
"7","<leaf>",65,65,0,2,0,0,0
