"","var","n","wt","dev","yval","complexity","ncompete","nsurrogate"
"1","petal_width",100,100,55,1.5,0.793006993006993,3,3
"2","petal_length",35,35,10.4,0.6,0.171818181818182,3,3
"4","<leaf>",15,15,0,0,0,0,0
"5","petal_length",20,20,0.950000000000001,1.05,0.00863636363636364,3,0
"10","<leaf>",18,18,0,1,0,0,0
"11","sepal_width",2,2,0.5,1.5,0.00863636363636364,2,0
"22","<leaf>",1,1,0,1,0,0,0
"23","<leaf>",1,1,0,2,0,0,0
"3","sepal_length",65,65,0.984615384615384,1.98461538461538,0.00895104895104895,3,0
"6","sepal_length",2,2,0.5,1.5,0.00895104895104895,3,0
"12","<leaf>",1,1,0,1,0,0,0
"13","<leaf>",1,1,0,2,0,0,0
"7","<leaf>",63,63,0,2,0,0,0
