"","var","n","wt","dev","yval","complexity","ncompete","nsurrogate"
"1","petal_length",100,100,56.84,0.46,0.86863711001642,3,3
"2","<leaf>",70,70,0,0,0,0,0
"3","petal_length",30,30,7.46666666666667,1.53333333333333,0.100574712643678,3,3
"6","sepal_length",16,16,1.75,1.125,0.014367816091954,3,0
"12","sepal_width",15,15,0.933333333333334,1.06666666666667,0.00821018062397373,3,0
"24","<leaf>",13,13,0,1,0,0,0
"25","petal_length",2,2,0.5,1.5,0.00821018062397373,1,0
"50","<leaf>",1,1,0,1,0,0,0
"51","<leaf>",1,1,0,2,0,0,0
"13","<leaf>",1,1,0,2,0,0,0
"7","<leaf>",14,14,0,2,0,0,0
