"","var","n","wt","dev","yval","complexity","ncompete","nsurrogate"
"1","petal_length",100,100,45.79,0.39,0.854147817676973,3,3
"2","<leaf>",72,72,0,0,0,0,0
"3","petal_width",28,28,6.67857142857143,1.39285714285714,0.108894163272849,3,3
"6","<leaf>",15,15,0,1,0,0,0
"7","petal_width",13,13,1.69230769230769,1.84615384615385,0.0151191896114368,3,1
"14","sepal_length",4,4,1,1.5,0.010919414719371,2,0
"28","sepal_length",3,3,0.666666666666667,1.33333333333333,0.010919414719371,3,0
"56","<leaf>",2,2,0,1,0,0,0
"57","<leaf>",1,1,0,2,0,0,0
"29","<leaf>",1,1,0,2,0,0,0
"15","<leaf>",9,9,0,2,0,0,0
