"","var","n","wt","dev","yval","complexity","ncompete","nsurrogate"
"1","petal_length",100,100,30,1,0.588235294117647,3,3
"2","<leaf>",15,15,0,0,0,0,0
"3","petal_length",85,85,12.3529411764706,1.17647058823529,0.347796451914099,3,3
"6","petal_width",70,70,0.985714285714286,1.01428571428571,0.0164285714285714,3,1
"12","<leaf>",68,68,0,1,0,0,0
"13","sepal_length",2,2,0.5,1.5,0.0164285714285714,1,0
"26","<leaf>",1,1,0,1,0,0,0
"27","<leaf>",1,1,0,2,0,0,0
"7","sepal_length",15,15,0.933333333333334,1.93333333333333,0.0311111111111111,3,0
"14","<leaf>",1,1,0,1,0,0,0
"15","<leaf>",14,14,0,2,0,0,0
