"","var","n","wt","dev","yval","complexity","ncompete","nsurrogate"
"1","petal_width",100,100,64.84,1.46,0.824688441918184,3,3
"2","petal_length",34,34,10.3823529411765,0.441176470588235,0.145801688966765,3,3
"4","<leaf>",20,20,0,0,0,0,0
"5","petal_length",14,14,0.928571428571428,1.07142857142857,0.0143209658940689,3,0
"10","<leaf>",13,13,0,1,0,0,0
"11","<leaf>",1,1,0,2,0,0,0
"3","sepal_length",66,66,0.984848484848482,1.98484848484848,0.00759445161049107,3,1
"6","sepal_length",3,3,0.666666666666667,1.66666666666667,0.00759445161049107,3,0
"12","<leaf>",1,1,0,1,0,0,0
"13","<leaf>",2,2,0,2,0,0,0
"7","<leaf>",63,63,0,2,0,0,0
