"","var","n","wt","dev","yval","complexity","ncompete","nsurrogate"
"1","petal_length",100,100,68.5099999999999,0.57,0.880726484142044,3,3
"2","<leaf>",65,65,0,0,0,0,0
"3","petal_length",35,35,8.17142857142858,1.62857142857143,0.0803497577691127,3,3
"6","petal_width",14,14,1.71428571428571,1.14285714285714,0.0152914763920457,3,1
"12","<leaf>",11,11,0,1,0,0,0
"13","sepal_width",3,3,0.666666666666667,1.66666666666667,0.00973093952221088,3,0
"26","<leaf>",1,1,0,1,0,0,0
"27","<leaf>",2,2,0,2,0,0,0
"7","petal_width",21,21,0.952380952380953,1.95238095238095,0.00695067108729349,3,0
"14","sepal_length",2,2,0.5,1.5,0.00695067108729349,2,0
"28","<leaf>",1,1,0,1,0,0,0
"29","<leaf>",1,1,0,2,0,0,0
"15","<leaf>",19,19,0,2,0,0,0
