"","var","n","wt","dev","yval","complexity","ncompete","nsurrogate"
"1","petal_length",100,100,60.96,0.52,0.861046780917091,3,3
"2","<leaf>",66,66,0,0,0,0,0
"3","petal_length",34,34,8.47058823529411,1.52941176470588,0.108081427015251,3,3
"6","sepal_length",16,16,0.9375,1.0625,0.015378937007874,3,0
"12","<leaf>",15,15,0,1,0,0,0
"13","<leaf>",1,1,0,2,0,0,0
"7","sepal_length",18,18,0.944444444444445,1.94444444444444,0.0077464275298921,3,1
"14","petal_width",3,3,0.666666666666667,1.66666666666667,0.0077464275298921,3,0
"28","<leaf>",1,1,0,1,0,0,0
"29","<leaf>",2,2,0,2,0,0,0
"15","<leaf>",15,15,0,2,0,0,0
