"","var","n","wt","dev","yval","complexity","ncompete","nsurrogate"
"1","petal_length",100,100,59,0.5,0.860297894196199,3,3
"2","<leaf>",67,67,0,0,0,0,0
"3","petal_width",33,33,8.24242424242425,1.51515151515152,0.109372043359555,3,3
"6","<leaf>",14,14,0,1,0,0,0
"7","sepal_length",19,19,1.78947368421053,1.89473684210526,0.0101100208147487,3,3
"14","sepal_width",7,7,1.42857142857143,1.71428571428571,0.0101100208147487,3,0
"28","<leaf>",1,1,0,1,0,0,0
"29","petal_width",6,6,0.833333333333333,1.83333333333333,0.0101100208147487,3,0
"58","<leaf>",1,1,0,1,0,0,0
"59","<leaf>",5,5,0,2,0,0,0
"15","<leaf>",12,12,0,2,0,0,0
